hour;minute;tweets;related;rainfall class;Normalized hour;Normalized minute;Normalized tweets;Normalized related;Normalized rainfall class;Next batch rainfall class
9;30;1;0;0.0;0.391304347826087;1.0;0.07692307692307693;0.0;0.0;0
15;30;6;0;0.0;0.6521739130434783;1.0;0.46153846153846156;0.0;0.0;0
3;30;0;0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0
23;0;1;0;0.0;1.0;0.0;0.07692307692307693;0.0;0.0;0
7;0;0;0;0.0;0.30434782608695654;0.0;0.0;0.0;0.0;0
15;0;10;0;0.0;0.6521739130434783;0.0;0.7692307692307693;0.0;0.0;0
20;30;9;0;0.0;0.8695652173913043;1.0;0.6923076923076923;0.0;0.0;0
7;30;0;0;0.0;0.30434782608695654;1.0;0.0;0.0;0.0;0
19;0;1;0;0.0;0.8260869565217391;0.0;0.07692307692307693;0.0;0.0;0
22;0;0;0;0.0;0.9565217391304348;0.0;0.0;0.0;0.0;0
15;0;2;0;0.0;0.6521739130434783;0.0;0.15384615384615385;0.0;0.0;0
11;0;2;0;0.0;0.4782608695652174;0.0;0.15384615384615385;0.0;0.0;0
5;30;0;0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0
13;0;1;0;0.4;0.5652173913043478;0.0;0.07692307692307693;0.0;0.02364066193853428;0
7;0;0;0;0.0;0.30434782608695654;0.0;0.0;0.0;0.0;0
15;30;2;0;0.0;0.6521739130434783;1.0;0.15384615384615385;0.0;0.0;0
14;30;0;0;0.0;0.6086956521739131;1.0;0.0;0.0;0.0;0
12;30;1;0;0.0;0.5217391304347826;1.0;0.07692307692307693;0.0;0.0;0
21;0;3;0;0.0;0.9130434782608695;0.0;0.23076923076923078;0.0;0.0;0
8;0;2;0;0.0;0.34782608695652173;0.0;0.15384615384615385;0.0;0.0;0
4;30;0;0;0.0;0.17391304347826086;1.0;0.0;0.0;0.0;0
11;30;2;0;0.0;0.4782608695652174;1.0;0.15384615384615385;0.0;0.0;0
3;0;0;0;0.0;0.13043478260869565;0.0;0.0;0.0;0.0;0
1;30;1;0;0.0;0.043478260869565216;1.0;0.07692307692307693;0.0;0.0;0
12;30;3;0;0.0;0.5217391304347826;1.0;0.23076923076923078;0.0;0.0;0
10;0;2;0;0.0;0.43478260869565216;0.0;0.15384615384615385;0.0;0.0;0
9;0;0;0;0.0;0.391304347826087;0.0;0.0;0.0;0.0;0
6;0;0;0;0.0;0.2608695652173913;0.0;0.0;0.0;0.0;0
17;0;1;0;0.2;0.7391304347826086;0.0;0.07692307692307693;0.0;0.01182033096926714;0
19;30;2;0;0.0;0.8260869565217391;1.0;0.15384615384615385;0.0;0.0;0
21;0;0;0;0.0;0.9130434782608695;0.0;0.0;0.0;0.0;0
3;30;0;0;0.2;0.13043478260869565;1.0;0.0;0.0;0.01182033096926714;0
12;30;2;0;0.0;0.5217391304347826;1.0;0.15384615384615385;0.0;0.0;0
10;0;4;0;0.0;0.43478260869565216;0.0;0.3076923076923077;0.0;0.0;0
20;0;0;0;0.0;0.8695652173913043;0.0;0.0;0.0;0.0;0
20;30;1;0;2.36;0.8695652173913043;1.0;0.07692307692307693;0.0;0.13947990543735223;0
13;30;3;0;0.0;0.5652173913043478;1.0;0.23076923076923078;0.0;0.0;0
4;0;0;0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0
20;30;6;0;0.0;0.8695652173913043;1.0;0.46153846153846156;0.0;0.0;0
19;30;0;0;0.99;0.8260869565217391;1.0;0.0;0.0;0.058510638297872335;1
5;30;0;0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0
