tweets;related;rainfall class;Normalized tweets;Normalized related;Normalized rainfall class;Next batch rainfall class
4;0;0.0;0.2;0.0;0.0;0
3;0;0.0;0.15;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
4;0;0.0;0.2;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
3;0;0.0;0.15;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
3;0;0.0;0.15;0.0;0.0;0
4;0;0.0;0.2;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
0;0;0.2;0.0;0.0;0.042462845010615716;0
4;0;0.0;0.2;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;1.97;0.0;0.0;0.4182590233545648;0
1;0;0.0;0.05;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
1;0;0.2;0.05;0.0;0.042462845010615716;0
0;0;0.0;0.0;0.0;0.0;0
3;0;0.0;0.15;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.1;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
3;0;0.0;0.15;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
2;0;1.17;0.1;0.0;0.2484076433121019;0
5;0;0.0;0.25;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
2;0;0.0;0.1;0.0;0.0;0
0;0;0.4;0.0;0.0;0.08492569002123143;0
1;0;0.0;0.05;0.0;0.0;0
1;0;0.4;0.05;0.0;0.08492569002123143;0
2;0;0.0;0.1;0.0;0.0;0
6;0;0.0;0.3;0.0;0.0;0
2;0;0.0;0.1;0.0;0.0;0
2;0;0.0;0.1;0.0;0.0;0
2;0;1.17;0.1;0.0;0.2484076433121019;0
0;0;0.0;0.0;0.0;0.0;0
0;0;1.57;0.0;0.0;0.33333333333333337;0
1;0;0.0;0.05;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
0;0;0.2;0.0;0.0;0.042462845010615716;0
3;0;1.37;0.15;0.0;0.29087048832271767;0
10;0;0.0;0.5;0.0;0.0;0
6;0;0.0;0.3;0.0;0.0;0
0;0;0.6;0.0;0.0;0.12738853503184713;0
3;0;0.0;0.15;0.0;0.0;0
2;0;0.79;0.1;0.0;0.16772823779193208;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.1;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
3;0;0.2;0.15;0.0;0.042462845010615716;0
1;0;1.97;0.05;0.0;0.4182590233545648;0
1;0;0.0;0.05;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
3;0;0.0;0.15;0.0;0.0;0
0;0;0.6;0.0;0.0;0.12738853503184713;0
1;0;0.0;0.05;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
4;0;0.0;0.2;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
3;0;0.0;0.15;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
2;0;0.2;0.1;0.0;0.042462845010615716;0
2;0;0.0;0.1;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
3;0;0.0;0.15;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.1;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.1;0.0;0.0;0
2;0;0.0;0.1;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
3;0;1.17;0.15;0.0;0.2484076433121019;0
0;0;0.0;0.0;0.0;0.0;0
5;0;0.0;0.25;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.1;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
3;0;0.0;0.15;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.98;0.0;0.0;0.208067940552017;0
2;0;0.79;0.1;0.0;0.16772823779193208;0
1;0;0.0;0.05;0.0;0.0;0
2;0;0.0;0.1;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.1;0.0;0.0;0
3;0;0.0;0.15;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
0;0;2.36;0.0;0.0;0.5010615711252654;0
2;0;0.0;0.1;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
5;0;0.0;0.25;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
2;0;0.0;0.1;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.1;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
4;0;0.0;0.2;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
4;0;0.0;0.2;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
3;0;0.0;0.15;0.0;0.0;0
2;0;0.0;0.1;0.0;0.0;0
2;0;0.98;0.1;0.0;0.208067940552017;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
1;0;0.6;0.05;0.0;0.12738853503184713;0
2;0;0.0;0.1;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
0;0;1.17;0.0;0.0;0.2484076433121019;0
0;0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.1;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
2;0;0.0;0.1;0.0;0.0;0
3;0;0.0;0.15;0.0;0.0;0
2;0;0.0;0.1;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
0;0;0.4;0.0;0.0;0.08492569002123143;0
0;0;0.0;0.0;0.0;0.0;0
3;0;0.6;0.15;0.0;0.12738853503184713;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
3;0;0.0;0.15;0.0;0.0;0
11;0;0.0;0.55;0.0;0.0;0
4;0;0.0;0.2;0.0;0.0;0
1;0;0.2;0.05;0.0;0.042462845010615716;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
1;1;0.0;0.05;1.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.1;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
1;0;1.57;0.05;0.0;0.33333333333333337;0
2;0;0.0;0.1;0.0;0.0;0
3;0;0.0;0.15;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.05;0.0;0.0;0
2;0;0.0;0.1;0.0;0.0;0
