Sensor;Split;Mean Squared Error;Accuracy;F1;Recall;Precision
2;1;5.235644470750286;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
2;2;0.18557546807461206;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;3;0.019024793325200996;1.0;1.0;1.0;1.0
2;4;4.061814535702231;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;5;4.093958656378637;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;6;4.370124279575047;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;7;0.08247360601963212;1.0;1.0;1.0;1.0
2;8;1.4994141199877002;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
2;9;0.25485797440554947;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
2;10;0.19968650923242973;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
3;1;0.0;1.0;1.0;1.0;1.0
3;2;0.0;1.0;1.0;1.0;1.0
3;3;0.0;1.0;1.0;1.0;1.0
3;4;0.0;1.0;1.0;1.0;1.0
3;5;0.0;1.0;1.0;1.0;1.0
3;6;0.0;1.0;1.0;1.0;1.0
3;7;0.0;1.0;1.0;1.0;1.0
3;8;0.0;1.0;1.0;1.0;1.0
3;9;0.0;1.0;1.0;1.0;1.0
3;10;0.0;1.0;1.0;1.0;1.0
4;1;0.029422797755968268;1.0;1.0;1.0;1.0
4;2;0.033913518480249365;1.0;1.0;1.0;1.0
4;3;0.01632958553401086;1.0;1.0;1.0;1.0
4;4;0.03992033261454741;1.0;1.0;1.0;1.0
4;5;0.013999628277422412;1.0;1.0;1.0;1.0
4;6;0.034876050514621414;1.0;1.0;1.0;1.0
4;7;0.036789031378310806;1.0;1.0;1.0;1.0
4;8;0.01209951365497097;1.0;1.0;1.0;1.0
4;9;0.04538644656166993;1.0;1.0;1.0;1.0
4;10;0.016641845483077417;1.0;1.0;1.0;1.0
54;1;0.030466816713917506;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;2;0.0212539111970823;1.0;1.0;1.0;1.0
54;3;0.014396266047476104;1.0;1.0;1.0;1.0
54;4;0.015258860654963591;1.0;1.0;1.0;1.0
54;5;0.024261521888983947;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;6;0.0338179351678338;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;7;0.01715663778377437;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;8;0.020865173575199188;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;9;0.020580638215368492;1.0;1.0;1.0;1.0
54;10;0.024268810476165546;1.0;1.0;1.0;1.0
55;1;0.011530029070785083;1.0;1.0;1.0;1.0
55;2;0.010004741642470966;1.0;1.0;1.0;1.0
55;3;0.010004986694993034;1.0;1.0;1.0;1.0
55;4;0.011548438471767463;1.0;1.0;1.0;1.0
55;5;0.009985705894052909;1.0;1.0;1.0;1.0
55;6;0.009987941321006052;1.0;1.0;1.0;1.0
55;7;0.011072861323105703;1.0;1.0;1.0;1.0
55;8;0.00998527010999417;1.0;1.0;1.0;1.0
55;9;0.011113658096667372;1.0;1.0;1.0;1.0
55;10;0.009985681211520764;1.0;1.0;1.0;1.0
56;1;0.41482228546251887;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
56;2;0.0711822143089819;1.0;1.0;1.0;1.0
56;3;0.03900034670380224;1.0;1.0;1.0;1.0
56;4;0.05243561216997404;1.0;1.0;1.0;1.0
56;5;0.32222169486003116;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
56;6;0.9970508971754023;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
56;7;0.22140704309217232;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
56;8;2.3043739826706755;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
56;9;1.0880248151834189;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
56;10;0.07929252306379954;1.0;1.0;1.0;1.0
