Sensor;Split;Mean Squared Error;Accuracy;F1;Recall;Precision
2;1;5.235677123849517;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
2;2;0.18557310757101417;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;3;0.019044948510035003;1.0;1.0;1.0;1.0
2;4;4.061740710564385;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;5;4.093941817475975;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;6;4.3700584848108335;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;7;0.08246571975012912;1.0;1.0;1.0;1.0
2;8;1.499395613555854;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
2;9;0.25485414834096026;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
2;10;0.1997025158733707;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
3;1;0.0;1.0;1.0;1.0;1.0
3;2;0.0;1.0;1.0;1.0;1.0
3;3;0.0;1.0;1.0;1.0;1.0
3;4;0.0;1.0;1.0;1.0;1.0
3;5;0.0;1.0;1.0;1.0;1.0
3;6;0.0;1.0;1.0;1.0;1.0
3;7;0.0;1.0;1.0;1.0;1.0
3;8;0.0;1.0;1.0;1.0;1.0
3;9;0.0;1.0;1.0;1.0;1.0
3;10;0.0;1.0;1.0;1.0;1.0
4;1;0.02945637006551886;1.0;1.0;1.0;1.0
4;2;0.03391106736862706;1.0;1.0;1.0;1.0
4;3;0.016341032320958345;1.0;1.0;1.0;1.0
4;4;0.039944119888033175;1.0;1.0;1.0;1.0
4;5;0.013977870476404553;1.0;1.0;1.0;1.0
4;6;0.034870259442350976;1.0;1.0;1.0;1.0
4;7;0.03677732660784746;1.0;1.0;1.0;1.0
4;8;0.012123049286805458;1.0;1.0;1.0;1.0
4;9;0.045377050086322854;1.0;1.0;1.0;1.0
4;10;0.01663700578337352;1.0;1.0;1.0;1.0
54;1;0.030466816713917506;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;2;0.0212539111970823;1.0;1.0;1.0;1.0
54;3;0.014396266047476104;1.0;1.0;1.0;1.0
54;4;0.015258860654963591;1.0;1.0;1.0;1.0
54;5;0.024261521888983947;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;6;0.0338179351678338;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;7;0.01715663778377437;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;8;0.020865173575199188;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;9;0.020580638215368492;1.0;1.0;1.0;1.0
54;10;0.024268810476165546;1.0;1.0;1.0;1.0
55;1;0.011530029070785083;1.0;1.0;1.0;1.0
55;2;0.010004741642470966;1.0;1.0;1.0;1.0
55;3;0.010004986694993034;1.0;1.0;1.0;1.0
55;4;0.011548475242272423;1.0;1.0;1.0;1.0
55;5;0.009985705894052909;1.0;1.0;1.0;1.0
55;6;0.00998795038573834;1.0;1.0;1.0;1.0
55;7;0.011072861323105703;1.0;1.0;1.0;1.0
55;8;0.00998527917472665;1.0;1.0;1.0;1.0
55;9;0.011112626928633225;1.0;1.0;1.0;1.0
55;10;0.009985681211520764;1.0;1.0;1.0;1.0
56;1;0.41481928516208305;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
56;2;0.07118044769574286;1.0;1.0;1.0;1.0
56;3;0.03897911803155359;1.0;1.0;1.0;1.0
56;4;0.05241336187345843;1.0;1.0;1.0;1.0
56;5;0.3222127711305555;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
56;6;0.9970149237532757;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
56;7;0.221406669527044;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
56;8;2.3043874493501932;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
56;9;1.0879859934559977;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
56;10;0.07928597556013518;1.0;1.0;1.0;1.0
63;1;0.010514595480678679;1.0;1.0;1.0;1.0
63;2;0.046008237957849106;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
63;3;0.03432829467096851;1.0;1.0;1.0;1.0
63;4;0.5420164204530484;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
63;5;0.11981666126058858;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
63;6;0.022655303174902393;1.0;1.0;1.0;1.0
63;7;0.11863866818169874;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
63;8;0.009952164100060527;1.0;1.0;1.0;1.0
63;9;0.4168852770422923;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
63;10;0.010001215670987945;1.0;1.0;1.0;1.0
66;1;0.013074230783671273;1.0;1.0;1.0;1.0
66;2;0.011599441672886786;1.0;1.0;1.0;1.0
66;3;0.013417663197637401;1.0;1.0;1.0;1.0
66;4;0.01603467674151072;1.0;1.0;1.0;1.0
66;5;0.013963420667124003;1.0;1.0;1.0;1.0
66;6;0.012749407226964026;1.0;1.0;1.0;1.0
66;7;0.01422412820807583;1.0;1.0;1.0;1.0
66;8;0.01382646068111848;1.0;1.0;1.0;1.0
66;9;0.012411704986511916;1.0;1.0;1.0;1.0
66;10;0.013948837913316754;1.0;1.0;1.0;1.0
74;1;0.4280065973835289;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
74;2;2.5704728913719292;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
74;3;0.08556503336236614;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
74;4;2.1908868761015627;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
74;5;0.17078261718427895;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
74;6;0.36390129276035194;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
74;7;0.18428953534531817;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
