tweets;related;rainfall (mm/30min);Normalized tweets;Normalized related;Normalized rainfall (mm/30min);Next batch rainfall (mm/30min);Next batch rainfall class
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
2;0;0.0;0.024691358024691357;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;5.12;0.0;0.0;0.12367149758454107;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.024691358024691357;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.2;0.012345679012345678;0.0;0.004830917874396136;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
2;0;0.0;0.024691358024691357;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
4;0;0.0;0.04938271604938271;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.024691358024691357;0.0;0.0;0.0;0
5;0;0.0;0.06172839506172839;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.024691358024691357;0.0;0.0;0.0;0
3;0;0.0;0.037037037037037035;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.024691358024691357;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
3;0;0.0;0.037037037037037035;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.024691358024691357;0.0;0.0;0.0;0
2;0;0.0;0.024691358024691357;0.0;0.0;0.0;0
3;0;0.0;0.037037037037037035;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.024691358024691357;0.0;0.0;0.0;0
3;0;0.0;0.037037037037037035;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
3;0;0.0;0.037037037037037035;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
4;0;0.0;0.04938271604938271;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
4;1;0.0;0.04938271604938271;0.5;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
2;0;0.0;0.024691358024691357;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
4;0;0.0;0.04938271604938271;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.024691358024691357;0.0;0.0;0.0;0
5;0;0.0;0.06172839506172839;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
2;0;0.0;0.024691358024691357;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.024691358024691357;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.99;0.0;0.0;0.02391304347826087;0.2;0
0;0;0.0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.024691358024691357;0.0;0.0;0.0;0
4;0;0.0;0.04938271604938271;0.0;0.0;0.0;0
3;0;0.0;0.037037037037037035;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.024691358024691357;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.024691358024691357;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
2;0;0.0;0.024691358024691357;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
4;0;0.0;0.04938271604938271;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
3;0;0.0;0.037037037037037035;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
12;0;0.0;0.14814814814814814;0.0;0.0;0.0;0
2;0;0.0;0.024691358024691357;0.0;0.0;0.0;0
2;0;0.0;0.024691358024691357;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
4;0;0.0;0.04938271604938271;0.0;0.0;0.0;0
4;0;0.0;0.04938271604938271;0.0;0.0;0.0;0
2;0;0.0;0.024691358024691357;0.0;0.0;0.0;0
6;0;0.0;0.07407407407407407;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
3;0;0.0;0.037037037037037035;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
2;0;0.0;0.024691358024691357;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
1;0;0.0;0.012345679012345678;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
0;0;0.0;0.0;0.0;0.0;0.0;0
