Sensor;Split;Mean Squared Error;Accuracy;F1;Recall;Precision
2;1;5.235574318978889;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
2;2;0.1855729228928091;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;3;0.019028778400195966;1.0;1.0;1.0;1.0
2;4;4.061718476163396;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;5;4.093945018842195;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;6;4.370035012674194;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;7;0.08248034889823964;1.0;1.0;1.0;1.0
2;8;1.4993504699492612;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
2;9;0.2548629364593156;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
2;10;0.19969496123279595;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
3;1;0.0;1.0;1.0;1.0;1.0
3;2;0.0;1.0;1.0;1.0;1.0
3;3;0.0;1.0;1.0;1.0;1.0
3;4;0.0;1.0;1.0;1.0;1.0
3;5;0.0;1.0;1.0;1.0;1.0
3;6;0.0;1.0;1.0;1.0;1.0
3;7;0.0;1.0;1.0;1.0;1.0
3;8;0.0;1.0;1.0;1.0;1.0
3;9;0.0;1.0;1.0;1.0;1.0
3;10;0.0;1.0;1.0;1.0;1.0
4;1;0.02934191320117787;1.0;1.0;1.0;1.0
4;2;0.033762110307999235;1.0;1.0;1.0;1.0
4;3;0.016221853793363623;1.0;1.0;1.0;1.0
4;4;0.039543004970522974;1.0;1.0;1.0;1.0
4;5;0.013921023639287225;1.0;1.0;1.0;1.0
4;6;0.0345933189826723;1.0;1.0;1.0;1.0
4;7;0.036406521435482196;1.0;1.0;1.0;1.0
4;8;0.012129437213524545;1.0;1.0;1.0;1.0
4;9;0.04520117181481757;1.0;1.0;1.0;1.0
4;10;0.016592890709324053;1.0;1.0;1.0;1.0
54;1;0.030483318313204343;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;2;0.021275787564567925;1.0;1.0;1.0;1.0
54;3;0.014348563445463754;1.0;1.0;1.0;1.0
54;4;0.015227820222570151;1.0;1.0;1.0;1.0
54;5;0.02427425459836061;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;6;0.03377074445757875;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;7;0.017122167190548446;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;8;0.020896453437035088;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;9;0.02065288601699045;1.0;1.0;1.0;1.0
54;10;0.024243215876855902;1.0;1.0;1.0;1.0
55;1;0.011544295302005327;1.0;1.0;1.0;1.0
55;2;0.009999999999996262;1.0;1.0;1.0;1.0
55;3;0.00999999999998335;1.0;1.0;1.0;1.0
55;4;0.011544295302019461;1.0;1.0;1.0;1.0
55;5;0.010000000000019268;1.0;1.0;1.0;1.0
55;6;0.00999999999998886;1.0;1.0;1.0;1.0
55;7;0.011073825503373371;1.0;1.0;1.0;1.0
55;8;0.00999999999998886;1.0;1.0;1.0;1.0
55;9;0.011114765100660466;1.0;1.0;1.0;1.0
55;10;0.009999999999985009;1.0;1.0;1.0;1.0
56;1;0.4148368688016738;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
56;2;0.07119594317688184;1.0;1.0;1.0;1.0
56;3;0.03899289917857684;1.0;1.0;1.0;1.0
56;4;0.05243938783872045;1.0;1.0;1.0;1.0
56;5;0.3222246867023706;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
56;6;0.9969851012206434;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
56;7;0.2214215365025809;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
56;8;2.30441452258782;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
56;9;1.0880419230557972;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
56;10;0.07929270018918533;1.0;1.0;1.0;1.0
63;1;0.010500023101817066;1.0;1.0;1.0;1.0
63;2;0.0468327493821357;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
63;3;0.035319816311720396;1.0;1.0;1.0;1.0
63;4;0.5429425114948371;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
63;5;0.12183710206197713;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
63;6;0.023568597699015457;1.0;1.0;1.0;1.0
63;7;0.1197118773366759;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
63;8;0.010136229314831168;1.0;1.0;1.0;1.0
63;9;0.41740156058261385;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
63;10;0.010078302255228109;1.0;1.0;1.0;1.0
66;1;0.013078936614489991;1.0;1.0;1.0;1.0
66;2;0.011603384556175962;1.0;1.0;1.0;1.0
66;3;0.013418927796199236;1.0;1.0;1.0;1.0
66;4;0.01603329116182099;1.0;1.0;1.0;1.0
66;5;0.01396806758949718;1.0;1.0;1.0;1.0
66;6;0.012758580227732113;1.0;1.0;1.0;1.0
66;7;0.01422505489636349;1.0;1.0;1.0;1.0
66;8;0.013823511020118164;1.0;1.0;1.0;1.0
66;9;0.01241232976530224;1.0;1.0;1.0;1.0
66;10;0.013956028203986448;1.0;1.0;1.0;1.0
74;1;0.4280400072381592;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
74;2;2.5704927335684538;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
74;3;0.08555588774209391;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
74;4;2.190887141831708;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
74;5;0.17079546406787427;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
74;6;0.3638859032694563;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
74;7;0.18425777037364013;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
74;8;0.760687672478552;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
74;9;1.1576848791261583;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
74;10;0.7802021740751137;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
75;1;0.010000000000000004;1.0;1.0;1.0;1.0
75;2;0.010000000000000004;1.0;1.0;1.0;1.0
75;3;0.010000000000000004;1.0;1.0;1.0;1.0
75;4;0.010000000000000004;1.0;1.0;1.0;1.0
75;5;0.010000000000000004;1.0;1.0;1.0;1.0
75;6;0.010000000000000004;1.0;1.0;1.0;1.0
75;7;0.010000000000000004;1.0;1.0;1.0;1.0
75;8;0.010000000000000004;1.0;1.0;1.0;1.0
75;9;0.010000000000000004;1.0;1.0;1.0;1.0
75;10;0.010000000000000004;1.0;1.0;1.0;1.0
78;1;0.035764681896969255;1.0;1.0;1.0;1.0
78;2;0.024221681055761037;1.0;1.0;1.0;1.0
78;3;0.024558301858549795;1.0;1.0;1.0;1.0
78;4;0.03405677383461877;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
78;5;0.02389333684385526;1.0;1.0;1.0;1.0
78;6;0.08012239116027443;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
78;7;0.0449656688627239;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
78;8;0.057090505862193185;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
78;9;0.09692135140019964;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
78;10;0.019157779511933565;1.0;1.0;1.0;1.0
79;1;0.019890844655443402;1.0;1.0;1.0;1.0
79;2;0.015015457475145804;1.0;1.0;1.0;1.0
79;3;0.016749039767017297;1.0;1.0;1.0;1.0
79;4;0.024388092281098894;1.0;1.0;1.0;1.0
79;5;0.014798052573281466;1.0;1.0;1.0;1.0
79;6;0.02171370219403251;1.0;1.0;1.0;1.0
79;7;0.09074648245313668;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
79;8;0.014297573544403962;1.0;1.0;1.0;1.0
79;9;0.029087125093629616;1.0;1.0;1.0;1.0
79;10;0.018421882959745065;1.0;1.0;1.0;1.0
1;1;0.023388538745447118;1.0;1.0;1.0;1.0
1;2;0.015359678123082266;1.0;1.0;1.0;1.0
1;3;0.014820476301551023;1.0;1.0;1.0;1.0
1;4;0.021241463862976435;1.0;1.0;1.0;1.0
1;5;0.01428754111539511;1.0;1.0;1.0;1.0
1;6;0.017998715134436027;1.0;1.0;1.0;1.0
1;7;0.017466894804003125;1.0;1.0;1.0;1.0
1;8;0.013759447572566887;1.0;1.0;1.0;1.0
1;9;0.022136144185274455;1.0;1.0;1.0;1.0
1;10;0.017971413326832646;1.0;1.0;1.0;1.0
5;1;0.010000000000000004;1.0;1.0;1.0;1.0
5;2;0.010000000000000004;1.0;1.0;1.0;1.0
5;3;0.010000000000000004;1.0;1.0;1.0;1.0
5;4;0.010000000000000004;1.0;1.0;1.0;1.0
5;5;0.010000000000000004;1.0;1.0;1.0;1.0
5;6;0.010000000000000004;1.0;1.0;1.0;1.0
5;7;0.010000000000000004;1.0;1.0;1.0;1.0
5;8;0.010000000000000004;1.0;1.0;1.0;1.0
5;9;0.010000000000000004;1.0;1.0;1.0;1.0
5;10;0.010000000000000004;1.0;1.0;1.0;1.0
7;1;1.381786299547956;0.9664429530201343;0.9664429530201343;0.9664429530201343;0.9664429530201343
7;2;5.258337271678424;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
7;3;0.047673882169190974;1.0;1.0;1.0;1.0
7;4;0.9820235739848765;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
7;5;0.17882529314458376;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
