Sensor;Split;Mean Squared Error;Accuracy;F1;Recall;Precision
2;1;5.23570855231219;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
2;2;0.1855664137773097;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;3;0.01898462790910237;1.0;1.0;1.0;1.0
2;4;4.061792298626434;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;5;4.094009302718407;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;6;4.370116633171873;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;7;0.08248107440475745;1.0;1.0;1.0;1.0
2;8;1.4993511964365578;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
2;9;0.25485870089418583;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
2;10;0.19969577980065384;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
3;1;0.0;1.0;1.0;1.0;1.0
3;2;0.0;1.0;1.0;1.0;1.0
3;3;0.0;1.0;1.0;1.0;1.0
3;4;0.0;1.0;1.0;1.0;1.0
3;5;0.0;1.0;1.0;1.0;1.0
3;6;0.0;1.0;1.0;1.0;1.0
3;7;0.0;1.0;1.0;1.0;1.0
3;8;0.0;1.0;1.0;1.0;1.0
3;9;0.0;1.0;1.0;1.0;1.0
3;10;0.0;1.0;1.0;1.0;1.0
4;1;0.029357960046869188;1.0;1.0;1.0;1.0
4;2;0.033761477876028956;1.0;1.0;1.0;1.0
4;3;0.01622135657676428;1.0;1.0;1.0;1.0
4;4;0.03979320167813375;1.0;1.0;1.0;1.0
4;5;0.013931007420167956;1.0;1.0;1.0;1.0
4;6;0.03473301214473194;1.0;1.0;1.0;1.0
4;7;0.03661831940026265;1.0;1.0;1.0;1.0
4;8;0.012091987639374198;1.0;1.0;1.0;1.0
4;9;0.04520154380523216;1.0;1.0;1.0;1.0
4;10;0.016592584461539064;1.0;1.0;1.0;1.0
54;1;0.030483318313204343;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;2;0.021275787564567925;1.0;1.0;1.0;1.0
54;3;0.014348563445463754;1.0;1.0;1.0;1.0
54;4;0.015227820222570151;1.0;1.0;1.0;1.0
54;5;0.02427425459836061;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;6;0.03377074445757875;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;7;0.017122167190548446;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;8;0.020896453437035088;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;9;0.02065288601699045;1.0;1.0;1.0;1.0
54;10;0.024243215876855902;1.0;1.0;1.0;1.0
55;1;0.011544295302005327;1.0;1.0;1.0;1.0
55;2;0.009999999999996262;1.0;1.0;1.0;1.0
55;3;0.00999999999998335;1.0;1.0;1.0;1.0
55;4;0.011544295302019461;1.0;1.0;1.0;1.0
55;5;0.010000000000019268;1.0;1.0;1.0;1.0
55;6;0.009999999999988822;1.0;1.0;1.0;1.0
55;7;0.011073825503373371;1.0;1.0;1.0;1.0
55;8;0.009999999999988823;1.0;1.0;1.0;1.0
55;9;0.011114765100660466;1.0;1.0;1.0;1.0
55;10;0.009999999999985009;1.0;1.0;1.0;1.0
56;1;0.41483556767627616;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
56;2;0.07115646038949314;1.0;1.0;1.0;1.0
56;3;0.03899093213191037;1.0;1.0;1.0;1.0
56;4;0.05243389451957871;1.0;1.0;1.0;1.0
56;5;0.3222251242793022;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
56;6;0.9970252469393224;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
56;7;0.22142264239430906;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
