hour;minute;tweets;related;rainfall (mm/30min);Next batch rainfall (mm/30min);Next batch rainfall class
9;0;2;0;0.0;0.0;fraca
23;30;2;0;0.0;0.0;fraca
0;30;0;0;0.0;0.0;fraca
1;30;0;0;0.0;0.0;fraca
8;0;0;0;0.0;0.0;fraca
17;0;3;0;0.0;0.0;fraca
1;0;1;0;0.0;0.0;fraca
23;0;2;0;0.0;0.0;fraca
7;0;0;0;0.0;0.0;fraca
4;30;2;0;0.0;0.0;fraca
1;0;1;0;0.0;0.0;fraca
12;0;4;0;0.0;0.0;fraca
14;30;0;0;0.0;0.0;fraca
4;30;0;0;0.0;0.0;fraca
21;30;27;0;0.0;0.0;fraca
11;0;0;0;0.0;0.0;fraca
3;0;0;0;0.2;0.2;fraca
20;0;4;0;0.0;0.0;fraca
6;0;0;0;0.0;0.0;fraca
22;0;2;0;0.0;0.0;fraca
14;0;2;0;0.0;0.0;fraca
23;30;1;0;0.0;0.0;fraca
3;30;0;0;0.0;0.0;fraca
13;0;0;0;0.0;0.0;fraca
13;30;0;0;0.2;0.0;fraca
17;0;0;0;0.0;0.0;fraca
2;30;2;0;0.0;0.0;fraca
8;30;0;0;0.0;0.0;fraca
14;30;0;0;0.0;0.0;fraca
7;30;0;0;0.0;0.0;fraca
19;0;2;0;0.0;0.0;fraca
16;30;0;0;0.0;0.0;fraca
1;0;0;0;0.0;0.0;fraca
9;30;0;0;0.0;0.2;fraca
22;30;1;0;0.0;0.0;fraca
4;0;0;0;0.0;0.0;fraca
16;0;1;0;0.0;0.0;fraca
8;30;1;0;0.0;0.0;fraca
16;0;0;0;0.0;0.0;fraca
3;30;0;0;0.0;0.2;fraca
10;0;0;0;0.0;0.0;fraca
6;30;0;0;0.0;0.0;fraca
19;30;0;0;0.0;1.18;fraca
5;0;0;0;0.0;0.0;fraca
9;0;18;0;0.0;0.0;fraca
16;30;3;0;0.0;0.0;fraca
18;0;0;0;0.0;0.0;fraca
4;30;0;0;0.0;0.0;fraca
20;0;0;0;0.0;0.0;fraca
17;30;0;0;0.0;0.0;fraca
3;30;0;0;0.0;0.0;fraca
19;0;0;0;0.0;0.0;fraca
4;30;0;0;0.2;0.2;fraca
15;30;2;0;0.0;0.0;fraca
21;30;2;0;0.0;0.0;fraca
19;0;1;0;0.6;0.2;fraca
10;0;2;0;0.0;0.0;fraca
21;30;1;0;0.0;0.0;fraca
7;30;1;0;0.0;0.0;fraca
7;30;0;0;0.0;0.0;fraca
18;0;0;0;0.0;0.0;fraca
7;30;0;0;0.0;0.0;fraca
2;30;0;0;0.0;0.0;fraca
16;0;0;0;0.0;0.0;fraca
12;30;0;0;0.0;0.0;fraca
17;0;3;0;0.0;0.0;fraca
21;0;1;0;0.0;0.0;fraca
10;30;0;0;1.57;1.38;fraca
22;30;2;0;0.79;0.4;fraca
6;0;0;0;0.0;0.0;fraca
22;0;1;0;0.0;0.0;fraca
18;0;0;0;0.0;0.0;fraca
10;0;1;0;0.0;0.0;fraca
11;0;1;0;0.0;0.0;fraca
12;0;1;0;0.0;0.0;fraca
15;30;1;0;0.0;0.0;fraca
18;0;0;0;0.0;0.0;fraca
0;0;1;0;0.0;0.0;fraca
21;30;2;0;0.0;0.0;fraca
15;30;0;0;0.0;0.0;fraca
4;30;0;0;0.0;0.0;fraca
13;30;1;0;0.0;0.4;fraca
9;0;3;0;0.0;0.0;fraca
19;30;16;0;0.0;0.0;fraca
15;30;0;0;0.0;0.0;fraca
9;0;0;0;0.0;0.0;fraca
20;30;4;0;0.0;0.0;fraca
13;30;1;0;0.0;0.0;fraca
22;30;2;0;0.0;0.0;fraca
18;30;0;0;0.4;1.18;fraca
13;0;0;0;0.0;0.0;fraca
10;30;4;0;0.0;0.0;fraca
19;0;3;0;0.0;0.0;fraca
14;30;4;0;0.0;0.0;fraca
14;0;1;0;0.0;0.0;fraca
3;0;0;0;0.0;0.0;fraca
18;30;3;0;1.18;0.99;fraca
7;0;1;0;0.0;0.0;fraca
5;0;0;0;0.0;0.0;fraca
19;0;0;0;0.0;0.0;fraca
14;30;1;1;0.0;0.6;fraca
13;30;0;0;0.0;0.0;fraca
23;0;7;0;0.0;0.0;fraca
3;30;0;0;0.0;0.0;fraca
6;30;0;0;0.0;0.0;fraca
4;30;0;0;0.0;0.0;fraca
13;30;0;0;0.0;0.0;fraca
3;30;0;0;0.0;0.0;fraca
18;30;4;0;0.0;0.0;fraca
17;30;0;0;0.0;0.0;fraca
22;0;4;0;3.55;6.41;moderada
11;30;0;0;0.0;0.0;fraca
8;0;0;0;0.0;0.0;fraca
20;0;4;0;0.0;0.0;fraca
6;0;1;0;0.0;0.0;fraca
15;30;0;0;0.0;0.0;fraca
22;30;0;0;6.41;9.46;moderada
18;0;0;0;0.0;1.18;fraca
18;30;0;0;0.0;0.0;fraca
12;30;0;0;0.0;0.0;fraca
1;0;0;0;0.0;0.0;fraca
9;0;1;0;0.0;0.0;fraca
23;30;2;0;0.0;0.0;fraca
0;30;0;0;0.0;0.0;fraca
14;0;1;0;0.0;0.0;fraca
7;30;0;0;0.0;0.0;fraca
0;0;1;0;0.0;0.0;fraca
7;0;0;0;0.2;0.0;fraca
3;0;0;0;0.0;0.0;fraca
12;0;0;0;0.0;0.0;fraca
16;0;12;0;0.0;0.0;fraca
13;0;1;0;0.0;0.0;fraca
22;30;6;0;0.0;0.0;fraca
4;30;2;0;0.0;0.0;fraca
6;0;0;0;0.0;0.0;fraca
4;30;0;0;0.2;0.2;fraca
16;0;0;0;0.0;0.0;fraca
5;30;0;0;0.0;0.0;fraca
8;30;0;0;0.0;0.0;fraca
1;30;0;0;0.0;0.0;fraca
16;30;1;0;0.0;0.0;fraca
20;30;1;0;0.0;0.0;fraca
12;30;0;0;0.0;0.0;fraca
11;30;2;0;0.0;1.17;fraca
5;30;0;0;0.0;0.0;fraca
23;30;6;0;0.0;0.0;fraca
20;30;0;0;0.0;0.0;fraca
17;30;1;0;0.0;0.0;fraca
9;30;0;0;0.0;0.0;fraca
21;0;5;0;0.0;0.0;fraca
7;30;1;0;0.0;0.0;fraca
21;0;0;0;1.57;1.17;fraca
2;30;0;0;0.0;0.0;fraca
5;0;0;0;0.0;0.0;fraca
9;0;13;1;0.0;0.0;fraca
18;30;0;0;0.0;0.0;fraca
21;0;3;0;0.0;0.0;fraca
2;30;0;0;0.0;0.0;fraca
6;30;0;0;0.0;0.0;fraca
5;0;0;0;0.0;0.0;fraca
2;30;1;0;0.0;0.0;fraca
11;0;0;0;0.0;0.0;fraca
22;0;0;0;0.0;0.0;fraca
8;30;0;0;0.0;0.0;fraca
3;30;0;0;0.0;0.0;fraca
9;0;2;0;0.0;0.0;fraca
20;0;4;0;1.18;33.71;muito forte
2;0;0;0;0.0;0.0;fraca
10;0;3;0;0.2;0.0;fraca
17;0;5;0;0.4;0.79;fraca
7;30;0;0;0.0;0.0;fraca
16;30;2;1;0.0;0.0;fraca
17;0;0;0;0.0;0.0;fraca
1;30;0;0;0.0;0.59;fraca
13;30;1;0;0.0;0.0;fraca
13;0;2;0;0.0;0.0;fraca
11;30;2;0;0.0;0.0;fraca
3;30;0;0;0.0;0.0;fraca
7;30;0;0;0.0;0.0;fraca
13;0;1;0;0.0;0.0;fraca
8;0;0;0;0.0;0.0;fraca
13;0;3;0;0.0;0.0;fraca
15;30;5;0;0.0;0.0;fraca
5;30;0;0;0.0;0.0;fraca
22;0;3;0;0.0;0.0;fraca
9;30;0;0;0.0;0.0;fraca
3;0;0;0;0.0;0.0;fraca
11;0;1;0;0.0;0.0;fraca
7;0;0;0;0.0;0.0;fraca
17;30;1;0;11.85;3.55;moderada
10;0;3;0;0.39;1.19;fraca
3;30;0;0;0.0;0.0;fraca
9;0;0;0;0.0;0.0;fraca
7;0;0;0;0.0;0.0;fraca
6;0;0;0;0.0;0.0;fraca
12;0;0;0;0.0;0.0;fraca
1;0;0;0;0.0;0.0;fraca
1;0;0;0;0.0;0.0;fraca
9;30;2;0;0.0;0.0;fraca
9;30;0;0;0.0;0.0;fraca
12;30;0;0;0.0;0.0;fraca
6;0;0;0;0.0;0.0;fraca
8;0;0;0;0.0;0.0;fraca
6;0;0;0;0.0;0.0;fraca
15;30;3;0;0.0;0.0;fraca
12;0;6;0;0.0;0.0;fraca
22;0;5;0;0.0;0.0;fraca
11;0;1;0;0.0;0.0;fraca
23;30;0;0;0.0;0.0;fraca
0;30;3;0;0.0;0.0;fraca
16;0;0;0;0.0;10.04;moderada
11;0;1;0;0.4;0.2;fraca
16;30;1;0;0.0;0.0;fraca
23;30;1;0;0.0;0.0;fraca
16;0;0;0;0.0;0.0;fraca
2;0;0;0;0.0;0.0;fraca
2;0;1;0;0.0;0.0;fraca
8;0;0;0;0.0;0.0;fraca
1;30;0;0;0.0;0.0;fraca
13;0;1;0;0.0;0.0;fraca
17;0;1;0;0.0;0.0;fraca
22;30;2;0;0.0;0.0;fraca
10;30;1;0;0.0;0.0;fraca
2;30;0;0;0.0;0.0;fraca
6;30;0;0;0.0;0.0;fraca
19;30;1;0;0.0;0.0;fraca
12;30;1;0;0.0;0.0;fraca
14;30;0;0;0.0;0.0;fraca
9;0;1;0;0.0;0.0;fraca
7;0;0;0;0.0;0.0;fraca
14;30;1;0;0.0;0.0;fraca
8;0;2;0;0.0;0.0;fraca
11;30;4;0;0.0;0.0;fraca
10;0;0;0;0.2;0.79;fraca
1;30;0;0;0.0;0.59;fraca
3;30;0;0;0.0;0.0;fraca
9;0;0;0;0.0;0.0;fraca
1;0;4;0;0.0;0.0;fraca
12;0;1;0;0.2;0.4;fraca
16;30;0;0;0.0;0.0;fraca
1;30;0;0;0.0;0.0;fraca
7;0;0;0;0.0;0.0;fraca
2;30;0;0;0.0;0.0;fraca
21;30;0;0;0.0;0.0;fraca
22;0;3;0;0.0;0.0;fraca
23;0;17;0;0.0;0.0;fraca
19;30;1;0;0.0;0.0;fraca
9;0;0;0;0.0;0.0;fraca
3;30;0;0;0.0;0.0;fraca
10;0;0;0;0.0;0.99;fraca
11;30;0;0;0.0;0.0;fraca
4;30;0;0;0.79;1.78;fraca
6;0;0;0;0.0;0.0;fraca
17;0;0;0;0.0;0.0;fraca
9;30;2;0;0.0;0.0;fraca
12;0;1;0;0.0;0.0;fraca
9;0;0;0;0.0;0.0;fraca
11;0;10;0;0.0;0.0;fraca
2;0;0;0;0.0;0.0;fraca
22;0;0;0;0.0;0.0;fraca
12;0;0;0;0.0;0.0;fraca
19;30;0;0;0.0;0.0;fraca
0;0;0;0;0.0;0.0;fraca
17;30;0;0;1.96;2.95;moderada
0;0;0;0;0.0;0.0;fraca
14;0;19;0;0.0;0.0;fraca
6;0;0;0;0.0;0.0;fraca
4;0;0;0;0.0;0.0;fraca
3;30;0;0;0.2;0.0;fraca
18;0;0;0;0.0;0.0;fraca
5;30;0;0;0.0;0.0;fraca
17;30;0;0;0.0;0.0;fraca
10;30;2;0;0.0;0.0;fraca
23;30;23;0;0.0;0.0;fraca
15;0;2;0;0.0;0.0;fraca
21;30;3;0;1.57;1.18;fraca
14;30;1;0;0.0;0.0;fraca
2;0;0;0;0.0;0.0;fraca
16;0;6;0;0.0;0.0;fraca
15;0;24;1;0.0;0.0;fraca
12;0;1;0;0.0;0.0;fraca
10;0;6;1;0.0;0.2;fraca
3;0;0;0;0.0;0.0;fraca
23;0;3;0;0.0;0.0;fraca
2;30;0;0;0.0;0.0;fraca
3;0;0;0;0.0;0.0;fraca
13;30;2;0;0.0;0.0;fraca
3;0;1;0;0.0;0.0;fraca
15;0;1;0;0.0;0.0;fraca
3;30;0;0;0.0;0.0;fraca
15;30;0;0;0.0;0.0;fraca
1;30;0;0;0.0;0.0;fraca
1;30;0;0;0.0;0.0;fraca
17;30;1;0;0.0;0.0;fraca
15;30;0;0;0.0;0.0;fraca
10;0;1;0;0.0;0.0;fraca
9;30;0;0;0.0;0.0;fraca
23;30;1;0;0.39;0.79;fraca
22;0;0;0;0.0;0.0;fraca
7;30;1;0;0.0;0.0;fraca
7;30;1;0;0.0;0.0;fraca
14;0;0;0;0.0;0.0;fraca
20;30;0;0;0.0;0.0;fraca
9;30;0;0;0.0;0.0;fraca
9;0;2;0;0.0;0.0;fraca
9;0;0;0;0.0;0.0;fraca
5;30;0;0;0.0;0.0;fraca
4;0;0;0;0.0;0.0;fraca
3;0;0;0;0.0;0.0;fraca
18;30;1;0;0.0;0.0;fraca
15;0;2;0;0.0;0.0;fraca
15;30;1;0;0.0;0.0;fraca
0;0;0;0;0.0;0.0;fraca
13;0;1;0;0.0;0.0;fraca
10;0;4;0;0.0;0.0;fraca
7;30;0;0;0.0;0.0;fraca
13;30;0;0;0.0;0.0;fraca
16;0;2;0;0.0;0.0;fraca
6;30;0;0;0.0;0.0;fraca
19;30;0;0;0.0;0.0;fraca
16;30;3;0;0.79;0.4;fraca
20;0;0;0;41.49;28.51;muito forte
8;0;1;0;0.0;0.0;fraca
14;30;4;0;0.0;0.0;fraca
20;0;1;0;0.0;0.0;fraca
7;0;0;0;0.0;0.0;fraca
3;30;0;0;0.0;0.0;fraca
11;0;0;0;0.0;0.0;fraca
17;30;1;0;0.0;0.0;fraca
21;0;2;0;0.0;0.0;fraca
20;30;0;0;0.0;0.0;fraca
1;30;0;0;0.0;0.0;fraca
18;0;1;0;0.0;0.0;fraca
22;30;0;0;0.0;0.0;fraca
22;0;1;0;0.0;0.0;fraca
17;30;0;0;0.0;0.0;fraca
15;30;2;0;0.0;0.0;fraca
21;30;3;0;3.15;1.37;fraca
13;0;2;0;0.0;0.0;fraca
13;30;0;0;0.0;0.0;fraca
23;0;3;0;0.0;0.0;fraca
14;30;0;0;0.0;0.0;fraca
19;30;1;0;0.0;0.0;fraca
18;30;1;0;0.0;0.0;fraca
8;30;10;0;0.0;0.0;fraca
20;0;1;0;0.0;0.0;fraca
7;0;0;0;0.98;0.0;fraca
0;0;4;0;0.0;0.0;fraca
21;0;1;0;0.0;0.0;fraca
0;30;2;0;0.0;0.0;fraca
2;30;0;0;0.0;0.0;fraca
2;0;1;0;0.0;0.0;fraca
5;30;0;0;0.2;0.39;fraca
6;0;0;0;0.39;0.98;fraca
17;0;0;0;0.0;0.0;fraca
17;30;1;0;0.0;0.0;fraca
22;0;0;0;0.0;0.0;fraca
23;30;9;0;0.0;0.0;fraca
18;30;0;0;0.2;0.6;fraca
9;0;2;0;0.0;0.0;fraca
5;0;0;0;0.0;0.0;fraca
4;0;0;0;0.0;0.0;fraca
7;30;0;0;0.0;0.0;fraca
14;0;1;0;0.0;0.0;fraca
22;30;0;0;0.0;0.0;fraca
14;0;0;0;0.0;0.0;fraca
20;0;3;0;0.0;0.0;fraca
7;30;1;0;0.0;0.0;fraca
9;0;4;0;0.0;0.0;fraca
6;30;0;0;0.0;0.0;fraca
15;30;0;0;0.0;0.0;fraca
11;0;0;0;0.0;0.0;fraca
16;30;1;0;0.0;0.0;fraca
8;30;0;0;0.0;0.0;fraca
20;30;2;0;0.0;0.0;fraca
16;30;0;0;0.0;0.0;fraca
22;30;0;0;0.0;0.0;fraca
4;0;0;0;0.0;0.0;fraca
6;0;0;0;0.0;0.0;fraca
9;30;1;0;0.0;0.0;fraca
15;0;1;0;0.0;0.0;fraca
3;0;0;0;0.0;0.0;fraca
12;30;3;0;0.0;0.0;fraca
13;0;1;0;0.0;0.0;fraca
21;0;0;0;2.36;1.57;fraca
19;0;1;0;0.0;0.0;fraca
10;30;1;0;0.0;0.0;fraca
22;30;1;0;0.79;0.0;fraca
22;0;8;0;1.18;0.79;fraca
1;0;0;0;0.0;0.0;fraca
11;30;1;0;0.0;0.0;fraca
14;30;0;0;0.0;0.0;fraca
22;30;8;0;0.0;0.0;fraca
2;30;0;0;0.0;0.0;fraca
23;0;0;0;0.0;0.0;fraca
1;0;3;0;0.0;0.0;fraca
20;30;0;0;0.0;0.0;fraca
17;30;0;0;0.0;0.0;fraca
20;30;1;0;0.0;0.0;fraca
9;30;0;0;0.0;0.2;fraca
21;30;0;0;0.0;0.0;fraca
10;30;0;0;0.0;0.0;fraca
18;30;0;0;0.0;0.0;fraca
10;0;0;0;0.0;0.0;fraca
6;0;0;0;0.0;0.0;fraca
16;0;0;0;0.0;0.0;fraca
10;30;0;0;0.0;0.0;fraca
12;0;0;0;0.0;0.0;fraca
2;0;2;0;0.0;0.0;fraca
0;30;5;0;0.0;0.0;fraca
13;0;1;0;0.0;0.0;fraca
5;0;0;0;0.0;0.0;fraca
10;30;1;0;0.0;0.0;fraca
11;0;3;0;0.0;0.0;fraca
11;30;1;0;0.0;0.0;fraca
2;0;1;0;0.0;0.0;fraca
14;0;2;0;0.0;0.0;fraca
9;30;5;0;0.0;0.39;fraca
20;0;0;0;0.0;0.0;fraca
6;30;1;0;0.0;0.0;fraca
1;0;0;0;0.0;0.0;fraca
6;30;0;0;0.0;0.0;fraca
5;0;13;0;0.0;0.0;fraca
7;0;0;0;0.2;0.0;fraca
4;0;0;0;0.0;0.0;fraca
21;0;0;0;23.54;3.15;moderada
0;30;1;0;0.0;0.0;fraca
6;0;0;0;0.0;0.0;fraca
12;30;0;0;0.0;0.0;fraca
1;30;0;0;0.0;0.0;fraca
