Sensor;Split;Mean Squared Error;Accuracy;F1;Recall;Precision
2;1;4.44457464338022;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
2;2;0.17542154752972403;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;3;0.015438300565943332;1.0;1.0;1.0;1.0
2;4;2.1776939724323223;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
2;5;2.0616454926664964;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;6;3.4567422483242876;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;7;0.057056440136302906;1.0;1.0;1.0;1.0
2;8;1.0830671235858247;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;9;0.25028898530139526;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
2;10;0.16836208123105767;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
3;1;0.0;1.0;1.0;1.0;1.0
3;2;0.0;1.0;1.0;1.0;1.0
3;3;0.0;1.0;1.0;1.0;1.0
3;4;0.0;1.0;1.0;1.0;1.0
3;5;0.0;1.0;1.0;1.0;1.0
3;6;0.0;1.0;1.0;1.0;1.0
3;7;0.0;1.0;1.0;1.0;1.0
3;8;0.0;1.0;1.0;1.0;1.0
3;9;0.0;1.0;1.0;1.0;1.0
3;10;0.0;1.0;1.0;1.0;1.0
4;1;0.028196309085447274;1.0;1.0;1.0;1.0
4;2;0.032272825332061744;1.0;1.0;1.0;1.0
4;3;0.016062323739769364;1.0;1.0;1.0;1.0
4;4;0.038117124719307706;1.0;1.0;1.0;1.0
4;5;0.013829605485994857;1.0;1.0;1.0;1.0
4;6;0.03347117730264584;1.0;1.0;1.0;1.0
4;7;0.03550440489834589;1.0;1.0;1.0;1.0
4;8;0.012117618948968498;1.0;1.0;1.0;1.0
4;9;0.04433182583633146;1.0;1.0;1.0;1.0
4;10;0.016731226296894074;1.0;1.0;1.0;1.0
