hour;minute;tweets;related;rainfall (mm/30min);precision;recall;Next batch rainfall (mm/30min);Next batch rainfall class
8;30;0;0;0.0;0.0;0.0;0.0;fraca
19;30;0;0;3.54;0.0;0.0;27.03;muito forte
20;30;5;0;0.0;0.0;0.0;0.0;fraca
12;0;24;0;0.0;0.0;0.0;0.0;fraca
19;30;2;0;0.0;0.0;0.0;0.0;fraca
17;30;3;0;0.0;0.0;0.0;0.0;fraca
12;0;8;0;0.2;0.0;0.0;0.0;fraca
11;0;2;0;0.0;0.0;0.0;0.0;fraca
2;0;3;0;0.0;0.0;0.0;0.0;fraca
18;0;7;0;0.0;0.0;0.0;0.2;fraca
3;30;0;0;0.0;0.0;0.0;0.0;fraca
9;0;8;0;0.0;0.0;0.0;0.0;fraca
10;30;7;0;0.0;0.0;0.0;0.0;fraca
4;0;1;0;0.0;0.0;0.0;0.0;fraca
13;0;19;0;0.0;0.0;0.0;0.0;fraca
0;0;0;0;0.0;0.0;0.0;0.0;fraca
3;0;0;0;0.0;0.0;0.0;0.0;fraca
21;0;15;0;0.0;0.0;0.0;0.0;fraca
15;0;2;0;0.0;0.0;0.0;0.0;fraca
6;0;2;0;0.0;0.0;0.0;0.0;fraca
22;30;0;0;0.0;0.0;0.0;0.0;fraca
12;0;4;0;0.0;0.0;0.0;0.0;fraca
19;0;0;0;9.64;0.0;0.0;3.54;moderada
18;30;2;0;0.2;0.0;0.0;0.0;fraca
17;0;9;0;0.0;0.0;0.0;0.0;fraca
12;0;15;0;0.0;0.0;0.0;0.0;fraca
21;30;14;0;0.0;0.0;0.0;0.0;fraca
12;0;3;0;0.0;0.0;0.0;0.0;fraca
6;30;2;0;0.0;0.0;0.0;0.0;fraca
20;0;6;0;0.0;0.0;0.0;0.0;fraca
17;0;7;0;0.0;0.0;0.0;0.0;fraca
17;30;6;0;0.0;0.0;0.0;0.0;fraca
6;30;1;0;0.0;0.0;0.0;0.0;fraca
11;0;9;0;0.0;0.0;0.0;0.0;fraca
6;30;2;0;0.59;0.0;0.0;0.0;fraca
14;0;5;0;0.0;0.0;0.0;0.0;fraca
22;30;30;0;0.0;0.0;0.0;0.0;fraca
1;0;1;0;0.99;0.0;0.0;0.2;fraca
6;0;1;0;0.0;0.0;0.0;0.0;fraca
5;0;0;0;0.0;0.0;0.0;0.0;fraca
7;0;1;0;0.0;0.0;0.0;0.0;fraca
14;30;1;0;0.2;0.0;0.0;0.6;fraca
10;30;6;0;0.0;0.0;0.0;0.0;fraca
4;30;1;0;0.0;0.0;0.0;0.0;fraca
11;0;0;0;0.0;0.0;0.0;0.0;fraca
21;0;3;0;0.0;0.0;0.0;0.0;fraca
1;30;10;0;0.0;0.0;0.0;0.0;fraca
22;0;10;0;0.0;0.0;0.0;0.0;fraca
22;30;4;0;0.0;0.0;0.0;0.0;fraca
11;30;8;0;0.2;0.0;0.0;0.0;fraca
9;0;3;0;0.0;0.0;0.0;0.0;fraca
10;0;3;0;0.0;0.0;0.0;0.0;fraca
0;30;6;0;0.0;0.0;0.0;0.0;fraca
10;30;1;0;0.0;0.0;0.0;0.0;fraca
23;30;0;0;0.0;0.0;0.0;0.0;fraca
23;30;6;0;0.0;0.0;0.0;0.0;fraca
17;0;18;0;0.0;0.0;0.0;0.0;fraca
4;30;2;0;0.0;0.0;0.0;0.0;fraca
19;0;15;0;0.0;0.0;0.0;0.0;fraca
8;0;11;0;0.0;0.0;0.0;0.0;fraca
16;0;6;0;0.0;0.0;0.0;0.0;fraca
16;0;5;0;0.0;0.0;0.0;0.0;fraca
15;0;3;0;0.0;0.0;0.0;0.0;fraca
22;30;3;0;0.0;0.0;0.0;0.0;fraca
10;0;2;0;0.0;0.0;0.0;0.0;fraca
10;0;3;0;0.0;0.0;0.0;0.2;fraca
4;0;4;0;0.2;0.0;0.0;0.0;fraca
14;30;4;0;0.0;0.0;0.0;0.0;fraca
21;0;22;0;0.0;0.0;0.0;0.0;fraca
5;30;0;0;0.0;0.0;0.0;0.0;fraca
0;0;6;0;0.0;0.0;0.0;0.0;fraca
6;0;2;0;0.0;0.0;0.0;0.0;fraca
20;0;0;0;27.03;0.0;0.0;12.11;moderada
7;30;1;0;0.0;0.0;0.0;0.0;fraca
7;30;1;0;0.0;0.0;0.0;0.0;fraca
4;30;1;0;0.0;0.0;0.0;0.0;fraca
18;30;7;0;0.0;0.0;0.0;0.0;fraca
9;30;7;0;0.0;0.0;0.0;0.0;fraca
11;30;16;0;0.0;0.0;0.0;0.0;fraca
22;0;0;0;0.99;0.0;0.0;0.4;fraca
7;0;1;0;0.0;0.0;0.0;0.0;fraca
21;0;5;0;0.0;0.0;0.0;0.0;fraca
19;30;7;0;0.0;0.0;0.0;0.0;fraca
3;0;0;0;0.0;0.0;0.0;0.0;fraca
22;30;4;1;0.0;4.143978385008743e-06;0.0016129032258064516;0.0;fraca
8;0;1;0;0.0;0.0;0.0;0.0;fraca
1;0;0;0;0.2;0.0;0.0;0.6;fraca
4;30;1;0;0.2;0.0;0.0;0.0;fraca
13;30;5;0;0.0;0.0;0.0;0.0;fraca
17;30;16;0;0.0;0.0;0.0;0.0;fraca
15;0;25;0;0.0;0.0;0.0;0.0;fraca
15;30;7;0;0.0;0.0;0.0;0.0;fraca
19;0;1;0;0.0;0.0;0.0;0.0;fraca
5;0;0;0;0.0;0.0;0.0;0.0;fraca
21;0;14;0;0.0;0.0;0.0;0.0;fraca
20;30;4;0;0.0;0.0;0.0;0.0;fraca
21;0;3;0;0.4;0.0;0.0;0.79;fraca
13;0;13;0;0.0;0.0;0.0;0.0;fraca
17;0;3;0;0.0;0.0;0.0;0.0;fraca
6;30;2;0;0.0;0.0;0.0;0.0;fraca
16;30;3;0;0.0;0.0;0.0;0.0;fraca
0;0;13;0;0.0;0.0;0.0;0.0;fraca
2;30;1;0;0.0;0.0;0.0;0.0;fraca
6;0;2;0;0.0;0.0;0.0;0.0;fraca
17;0;11;0;0.0;0.0;0.0;0.0;fraca
0;30;0;0;0.2;0.0;0.0;0.0;fraca
10;0;3;0;0.0;0.0;0.0;0.2;fraca
9;30;0;0;0.0;0.0;0.0;0.0;fraca
19;30;6;0;0.0;0.0;0.0;0.0;fraca
8;0;1;0;0.0;0.0;0.0;0.79;fraca
7;0;8;0;0.0;0.0;0.0;0.0;fraca
5;30;0;0;0.0;0.0;0.0;0.0;fraca
21;0;7;0;0.0;0.0;0.0;0.0;fraca
5;0;1;0;0.4;0.0;0.0;0.0;fraca
23;30;2;0;0.0;0.0;0.0;0.0;fraca
2;30;0;0;0.0;0.0;0.0;0.0;fraca
21;30;10;0;0.0;0.0;0.0;0.0;fraca
15;0;10;0;0.0;0.0;0.0;0.0;fraca
7;0;2;0;0.0;0.0;0.0;0.0;fraca
5;0;0;0;0.0;0.0;0.0;0.2;fraca
21;30;6;0;0.79;0.0;0.0;4.13;moderada
11;30;5;0;0.0;0.0;0.0;0.0;fraca
5;0;0;0;2.16;0.0;0.0;1.38;fraca
22;30;0;0;0.4;0.0;0.0;0.2;fraca
20;30;10;0;0.0;0.0;0.0;0.0;fraca
14;30;8;0;0.0;0.0;0.0;0.0;fraca
23;30;15;0;0.0;0.0;0.0;0.0;fraca
1;30;1;0;0.0;0.0;0.0;0.0;fraca
14;0;5;0;0.0;0.0;0.0;0.0;fraca
18;30;1;0;0.0;0.0;0.0;0.0;fraca
14;0;20;0;0.0;0.0;0.0;0.0;fraca
3;30;0;0;0.0;0.0;0.0;0.0;fraca
18;30;4;0;0.0;0.0;0.0;0.0;fraca
3;0;4;0;0.0;0.0;0.0;0.0;fraca
15;30;5;0;0.0;0.0;0.0;0.0;fraca
2;0;1;0;0.0;0.0;0.0;0.0;fraca
0;30;9;0;0.0;0.0;0.0;0.0;fraca
17;30;1;0;0.0;0.0;0.0;0.0;fraca
8;30;4;0;0.0;0.0;0.0;0.0;fraca
1;30;0;0;0.0;0.0;0.0;0.0;fraca
6;30;1;0;0.0;0.0;0.0;0.0;fraca
0;30;3;0;0.0;0.0;0.0;0.0;fraca
0;0;4;0;0.0;0.0;0.0;0.0;fraca
6;0;2;0;0.0;0.0;0.0;0.0;fraca
7;0;1;0;0.0;0.0;0.0;0.0;fraca
2;30;8;0;0.0;0.0;0.0;0.0;fraca
22;30;2;0;0.0;0.0;0.0;0.0;fraca
0;0;3;0;0.0;0.0;0.0;0.0;fraca
17;0;0;0;0.0;0.0;0.0;0.0;fraca
5;0;0;0;0.0;0.0;0.0;0.0;fraca
7;30;4;0;0.0;0.0;0.0;0.0;fraca
0;30;3;0;0.0;0.0;0.0;0.0;fraca
17;0;8;0;0.0;0.0;0.0;0.0;fraca
3;0;0;0;0.0;0.0;0.0;0.0;fraca
2;0;0;0;0.0;0.0;0.0;0.0;fraca
15;30;17;0;0.0;0.0;0.0;0.0;fraca
4;30;0;0;0.0;0.0;0.0;0.0;fraca
20;30;14;0;0.0;0.0;0.0;0.0;fraca
9;0;2;0;0.0;0.0;0.0;0.0;fraca
13;0;2;0;0.0;0.0;0.0;0.0;fraca
14;30;3;0;0.0;0.0;0.0;0.0;fraca
20;0;5;0;0.0;0.0;0.0;0.0;fraca
12;30;17;0;0.0;0.0;0.0;0.0;fraca
9;30;1;0;0.0;0.0;0.0;0.0;fraca
23;0;0;0;0.0;0.0;0.0;0.0;fraca
5;0;1;0;0.0;0.0;0.0;0.0;fraca
1;30;1;0;0.0;0.0;0.0;0.0;fraca
4;30;0;0;0.78;0.0;0.0;0.4;fraca
5;30;0;0;0.0;0.0;0.0;0.0;fraca
9;0;2;0;0.0;0.0;0.0;0.0;fraca
9;0;2;0;0.0;0.0;0.0;0.0;fraca
9;0;0;0;0.0;0.0;0.0;0.0;fraca
9;0;5;0;0.0;0.0;0.0;0.0;fraca
12;0;5;0;0.0;0.0;0.0;0.0;fraca
0;30;11;0;0.0;0.0;0.0;0.0;fraca
7;0;1;0;0.0;0.0;0.0;0.0;fraca
7;30;0;0;0.0;0.0;0.0;0.0;fraca
13;0;12;0;0.0;0.0;0.0;0.0;fraca
14;0;10;0;0.0;0.0;0.0;0.0;fraca
11;30;3;0;0.0;0.0;0.0;0.0;fraca
19;0;4;0;0.0;0.0;0.0;0.0;fraca
4;30;1;0;0.0;0.0;0.0;0.0;fraca
17;0;16;0;0.0;0.0;0.0;0.0;fraca
23;30;3;0;0.0;0.0;0.0;0.0;fraca
1;0;2;1;0.0;4.143978385008743e-06;0.0016129032258064516;0.0;fraca
7;0;1;0;0.0;0.0;0.0;0.0;fraca
19;0;25;0;0.0;0.0;0.0;0.0;fraca
21;30;16;0;1.57;0.0;0.0;0.79;fraca
16;30;4;0;0.0;0.0;0.0;0.0;fraca
20;0;31;0;0.0;0.0;0.0;0.0;fraca
12;0;14;0;0.0;0.0;0.0;0.0;fraca
9;30;3;0;0.0;0.0;0.0;0.0;fraca
3;0;0;0;0.0;0.0;0.0;0.0;fraca
2;30;0;0;0.0;0.0;0.0;0.0;fraca
7;30;4;0;0.0;0.0;0.0;0.0;fraca
13;0;3;0;0.0;0.0;0.0;0.0;fraca
0;0;0;0;0.0;0.0;0.0;0.0;fraca
12;30;3;0;0.0;0.0;0.0;0.0;fraca
20;0;13;0;0.0;0.0;0.0;0.0;fraca
20;0;22;0;0.0;0.0;0.0;0.0;fraca
16;30;3;0;0.0;0.0;0.0;0.0;fraca
14;30;22;0;0.0;0.0;0.0;0.0;fraca
11;0;8;0;0.0;0.0;0.0;0.0;fraca
21;0;1;0;0.0;0.0;0.0;0.0;fraca
4;30;0;0;0.0;0.0;0.0;0.0;fraca
8;0;0;0;0.0;0.0;0.0;0.0;fraca
0;30;7;0;0.0;0.0;0.0;0.0;fraca
6;30;6;0;0.0;0.0;0.0;0.0;fraca
15;30;8;0;0.0;0.0;0.0;0.0;fraca
8;30;0;0;0.79;0.0;0.0;0.2;fraca
11;30;8;0;0.0;0.0;0.0;0.0;fraca
0;0;10;0;0.0;0.0;0.0;0.0;fraca
10;30;6;0;0.0;0.0;0.0;0.0;fraca
0;30;6;0;0.0;0.0;0.0;0.0;fraca
17;0;6;0;0.0;0.0;0.0;0.0;fraca
