Sensor;Split;Mean Squared Error;Accuracy;F1;Recall;Precision
2;1;3.0463220354496383;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
2;2;0.17384919841005117;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;3;0.016790838402523635;1.0;1.0;1.0;1.0
2;4;2.1432649380627775;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
2;5;2.0478140389695008;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;6;2.3180890611274263;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;7;0.05603049501511168;1.0;1.0;1.0;1.0
2;8;1.1219224353267467;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;9;0.25038579356422164;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
2;10;0.1618253783532062;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
3;1;0.0;1.0;1.0;1.0;1.0
3;2;0.0;1.0;1.0;1.0;1.0
3;3;0.0;1.0;1.0;1.0;1.0
3;4;0.0;1.0;1.0;1.0;1.0
3;5;0.0;1.0;1.0;1.0;1.0
3;6;0.0;1.0;1.0;1.0;1.0
3;7;0.0;1.0;1.0;1.0;1.0
3;8;0.0;1.0;1.0;1.0;1.0
3;9;0.0;1.0;1.0;1.0;1.0
3;10;0.0;1.0;1.0;1.0;1.0
4;1;0.029161123829780346;1.0;1.0;1.0;1.0
4;2;0.033763955667380045;1.0;1.0;1.0;1.0
4;3;0.01626595811956719;1.0;1.0;1.0;1.0
4;4;0.03989738984885097;1.0;1.0;1.0;1.0
4;5;0.013961452837426202;1.0;1.0;1.0;1.0
4;6;0.034879938758393854;1.0;1.0;1.0;1.0
4;7;0.03680043779575357;1.0;1.0;1.0;1.0
4;8;0.0121019323304142;1.0;1.0;1.0;1.0
4;9;0.04531202756176177;1.0;1.0;1.0;1.0
4;10;0.016636451217797173;1.0;1.0;1.0;1.0
54;1;0.031007289560309157;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;2;0.021063885989282567;1.0;1.0;1.0;1.0
54;3;0.014710553695076086;1.0;1.0;1.0;1.0
54;4;0.015582546898522214;1.0;1.0;1.0;1.0
54;5;0.025316676995277565;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;6;0.035499355471046844;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;7;0.017642755553985714;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;8;0.022509253728612164;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;9;0.021245326408873225;1.0;1.0;1.0;1.0
54;10;0.025069308788021466;1.0;1.0;1.0;1.0
55;1;0.011544295302012713;1.0;1.0;1.0;1.0
55;2;0.010000000000001423;1.0;1.0;1.0;1.0
55;3;0.009999999999997816;1.0;1.0;1.0;1.0
