year;month;day;hour;minute;tweets;related;rainfall (mm/30min);Next batch rainfall (mm/30min);Next batch rainfall class
2016;1;8;14;0;10;0;0.0;0.0;fraca
2016;1;23;17;30;4;0;0.0;0.0;fraca
2016;1;13;18;30;6;0;0.0;0.0;fraca
2016;1;29;13;0;10;0;0.0;0.0;fraca
2016;1;3;8;0;0;0;0.0;0.0;fraca
2016;1;6;0;0;28;0;0.0;0.0;fraca
2016;1;10;2;0;3;0;0.0;0.2;fraca
2016;1;18;1;0;0;0;0.0;0.0;fraca
2016;1;31;19;0;2;0;0.0;0.0;fraca
2016;1;29;14;0;11;0;0.0;0.0;fraca
2016;1;25;23;30;1;0;0.0;0.0;fraca
2016;1;2;16;30;1;0;0.99;0.98;fraca
2016;1;17;13;30;3;0;0.0;0.0;fraca
2016;1;6;19;0;10;0;0.0;0.0;fraca
2016;1;5;7;0;5;0;0.0;0.0;fraca
2016;1;27;20;0;7;0;1.38;0.6;fraca
2016;1;21;7;30;7;0;0.0;0.0;fraca
2016;1;20;20;0;6;0;0.0;0.0;fraca
2016;1;5;12;30;17;0;0.0;0.0;fraca
2016;1;28;21;0;5;0;0.0;0.0;fraca
2016;1;22;10;0;10;0;0.0;0.0;fraca
2016;1;8;9;0;6;0;0.0;0.0;fraca
2016;1;21;20;30;6;0;0.0;0.0;fraca
2016;1;7;3;0;0;0;0.0;0.0;fraca
2016;1;3;2;30;0;0;0.0;0.0;fraca
2016;1;28;10;30;15;0;0.0;0.0;fraca
2016;1;18;18;0;4;0;0.0;0.0;fraca
2016;1;30;1;0;4;0;0.0;0.0;fraca
2016;1;31;6;0;0;0;0.0;0.0;fraca
2016;1;9;8;0;4;0;0.0;0.0;fraca
2016;1;31;10;30;1;0;0.0;0.0;fraca
2016;1;6;6;30;12;0;0.0;0.0;fraca
2016;1;21;9;30;13;0;0.0;0.0;fraca
2016;1;7;15;0;11;0;0.0;0.0;fraca
2016;1;22;23;30;11;0;0.0;0.0;fraca
2016;1;9;22;30;0;0;0.6;0.2;fraca
2016;1;15;6;30;0;0;0.0;0.0;fraca
2016;1;21;11;30;13;0;0.2;0.0;fraca
2016;1;1;19;0;1;0;5.31;15.76;forte
2016;1;12;22;0;3;0;0.0;0.0;fraca
2016;1;15;10;0;5;0;0.0;0.0;fraca
2016;1;8;20;30;17;0;0.0;0.0;fraca
2016;1;23;5;0;7;0;0.0;0.0;fraca
2016;1;13;20;30;13;0;0.0;0.0;fraca
2016;1;22;19;0;5;0;0.0;0.0;fraca
2016;1;12;20;0;10;0;0.0;0.0;fraca
2016;1;9;4;0;0;0;0.0;0.0;fraca
2016;1;30;22;0;11;0;0.0;0.0;fraca
2016;1;30;13;30;9;0;0.0;0.0;fraca
2016;1;7;18;0;8;0;0.0;0.0;fraca
2016;1;17;1;0;4;0;0.0;0.0;fraca
2016;1;7;4;30;3;0;0.0;0.0;fraca
2016;1;14;4;30;0;0;0.0;0.0;fraca
2016;1;13;7;30;4;0;0.0;0.0;fraca
2016;1;1;3;0;3;0;0.0;0.0;fraca
2016;1;7;21;30;10;0;0.0;0.0;fraca
2016;1;30;13;0;13;0;0.0;0.0;fraca
2016;1;13;13;0;6;0;0.0;0.0;fraca
2016;1;12;13;0;15;0;0.0;0.0;fraca
2016;1;29;19;30;7;1;0.0;0.0;fraca
2016;1;16;12;30;7;0;0.0;0.0;fraca
2016;1;16;18;30;5;0;0.0;0.0;fraca
2016;1;26;7;0;5;0;0.0;0.0;fraca
2016;1;15;16;0;6;0;0.0;0.0;fraca
2016;1;24;17;0;1;0;0.0;0.0;fraca
2016;1;8;9;30;6;0;0.0;0.0;fraca
2016;1;22;6;0;2;0;0.0;0.0;fraca
2016;1;23;10;0;7;0;0.0;0.0;fraca
2016;1;4;3;0;1;0;0.0;0.0;fraca
2016;1;2;6;30;1;0;0.0;0.79;fraca
2016;1;10;16;30;4;0;0.0;0.0;fraca
2016;1;3;18;0;4;0;0.0;0.0;fraca
2016;1;23;13;0;3;0;0.0;0.0;fraca
2016;1;14;4;0;0;0;0.0;0.0;fraca
2016;1;24;6;30;1;0;0.0;0.0;fraca
2016;1;2;1;0;1;0;0.0;0.0;fraca
2016;1;5;20;30;22;0;0.0;0.0;fraca
2016;1;28;18;0;14;0;0.0;0.0;fraca
2016;1;20;17;30;0;0;0.0;0.0;fraca
2016;1;15;1;0;5;0;0.4;0.2;fraca
2016;1;6;13;0;8;0;0.0;0.0;fraca
2016;1;18;20;0;7;0;0.0;0.0;fraca
2016;1;11;20;30;17;0;0.0;0.0;fraca
2016;1;4;4;30;3;0;0.0;0.0;fraca
2016;1;26;20;0;11;0;0.0;0.0;fraca
2016;1;16;23;30;2;0;0.0;0.0;fraca
2016;1;24;16;0;5;0;0.0;0.0;fraca
2016;1;17;12;30;11;0;0.0;0.0;fraca
2016;1;1;16;30;3;0;0.0;0.0;fraca
2016;1;1;13;0;1;0;0.0;0.0;fraca
2016;1;30;20;0;11;0;0.0;0.0;fraca
2016;1;8;23;30;4;0;0.0;0.0;fraca
2016;1;7;22;0;36;0;0.0;0.0;fraca
2016;1;25;22;30;10;0;0.0;0.0;fraca
2016;1;29;19;0;10;0;0.0;0.0;fraca
2016;1;30;7;0;6;0;0.0;0.0;fraca
2016;1;2;10;0;0;0;0.78;0.2;fraca
2016;1;3;12;30;1;0;0.0;0.0;fraca
2016;1;21;21;0;4;0;0.0;0.0;fraca
2016;1;21;12;0;8;0;0.0;0.0;fraca
2016;1;5;2;0;0;0;0.0;0.0;fraca
2016;1;17;4;0;0;0;0.0;0.0;fraca
2016;1;21;18;30;2;0;0.0;0.0;fraca
2016;1;16;9;0;7;0;0.0;0.0;fraca
2016;1;27;22;30;5;0;0.4;0.2;fraca
2016;1;13;20;0;5;0;0.0;0.0;fraca
2016;1;25;11;30;1;0;0.0;0.0;fraca
2016;1;27;8;0;6;0;0.0;0.0;fraca
2016;1;3;4;30;0;0;0.0;0.0;fraca
2016;1;15;8;30;4;0;0.4;0.0;fraca
2016;1;24;3;0;1;0;0.0;0.0;fraca
2016;1;10;3;30;0;0;8.86;3.34;moderada
2016;1;15;12;30;23;0;0.0;0.0;fraca
2016;1;6;13;30;7;0;0.0;0.0;fraca
2016;1;7;5;0;1;0;0.0;0.0;fraca
2016;1;24;5;0;1;0;0.0;0.0;fraca
2016;1;17;11;0;6;0;0.0;0.0;fraca
2016;1;11;17;30;19;1;0.4;0.2;fraca
2016;1;3;3;30;0;0;0.0;0.0;fraca
2016;1;17;19;0;11;0;0.0;0.0;fraca
2016;1;18;16;30;4;0;0.0;0.0;fraca
2016;1;24;22;30;5;0;0.2;0.0;fraca
2016;1;10;17;0;7;0;0.0;0.0;fraca
2016;1;4;7;30;5;0;0.0;0.0;fraca
2016;1;10;21;0;4;0;0.0;0.0;fraca
2016;1;19;20;0;2;0;0.0;0.0;fraca
2016;1;20;19;30;15;0;0.0;0.0;fraca
2016;1;5;4;30;0;0;0.0;0.0;fraca
2016;1;23;7;30;2;0;0.0;0.0;fraca
2016;1;12;14;30;9;0;0.0;0.0;fraca
2016;1;25;18;0;5;0;0.0;0.0;fraca
2016;1;1;2;30;0;0;0.0;0.0;fraca
2016;1;7;0;0;10;0;0.0;0.0;fraca
2016;1;28;21;30;4;0;0.0;0.0;fraca
2016;1;5;15;30;7;0;0.0;0.0;fraca
2016;1;24;12;30;3;0;0.0;0.0;fraca
2016;1;19;8;0;2;0;0.0;0.0;fraca
2016;1;17;0;0;8;0;0.0;0.0;fraca
