Sensor;Split;Mean Squared Error;Accuracy;F1;Recall;Precision
2;1;4.351198123766051;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
2;2;0.17475472793239658;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;3;0.015294979248808451;1.0;1.0;1.0;1.0
2;4;2.163109324051072;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
2;5;2.061007178567411;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;6;3.5300574873535306;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;7;0.05721157355205115;1.0;1.0;1.0;1.0
2;8;1.074253566970466;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;9;0.2497176521367836;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
2;10;0.16532090571833713;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
3;1;0.0;1.0;1.0;1.0;1.0
3;2;0.0;1.0;1.0;1.0;1.0
3;3;0.0;1.0;1.0;1.0;1.0
3;4;0.0;1.0;1.0;1.0;1.0
3;5;0.0;1.0;1.0;1.0;1.0
3;6;0.0;1.0;1.0;1.0;1.0
3;7;0.0;1.0;1.0;1.0;1.0
3;8;0.0;1.0;1.0;1.0;1.0
3;9;0.0;1.0;1.0;1.0;1.0
3;10;0.0;1.0;1.0;1.0;1.0
4;1;0.024607365288139713;1.0;1.0;1.0;1.0
4;2;0.029041619122627635;1.0;1.0;1.0;1.0
4;3;0.015036787047827072;1.0;1.0;1.0;1.0
4;4;0.034311692103998655;1.0;1.0;1.0;1.0
4;5;0.013569134732860075;1.0;1.0;1.0;1.0
4;6;0.028933154724508865;1.0;1.0;1.0;1.0
4;7;0.029666188564983785;1.0;1.0;1.0;1.0
4;8;0.011692504129109941;1.0;1.0;1.0;1.0
4;9;0.04244527726449983;1.0;1.0;1.0;1.0
4;10;0.016108374161720795;1.0;1.0;1.0;1.0
54;1;0.03135300819906386;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;2;0.019389054300299764;1.0;1.0;1.0;1.0
54;3;0.012886082774826243;1.0;1.0;1.0;1.0
54;4;0.01271118437783569;1.0;1.0;1.0;1.0
54;5;0.025013154648939613;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;6;0.0342441872681113;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;7;0.015212779241288023;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;8;0.02032206862746371;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;9;0.02185583105379626;1.0;1.0;1.0;1.0
54;10;0.021252861663556947;1.0;1.0;1.0;1.0
55;1;0.011525622853810726;1.0;1.0;1.0;1.0
55;2;0.009977025812166414;1.0;1.0;1.0;1.0
55;3;0.009983002785497882;1.0;1.0;1.0;1.0
55;4;0.01152910679384429;1.0;1.0;1.0;1.0
55;5;0.00997080898844141;1.0;1.0;1.0;1.0
55;6;0.009975631067190118;1.0;1.0;1.0;1.0
55;7;0.011049140917773276;1.0;1.0;1.0;1.0
55;8;0.009983502639180184;1.0;1.0;1.0;1.0
55;9;0.011094310729697644;1.0;1.0;1.0;1.0
55;10;0.009986611439378401;1.0;1.0;1.0;1.0
56;1;0.4068008132773507;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
56;2;0.07406420456817484;1.0;1.0;1.0;1.0
56;3;0.03528328556775978;1.0;1.0;1.0;1.0
56;4;0.05717963103961249;1.0;1.0;1.0;1.0
56;5;0.3204030806383482;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
56;6;0.9321787999800285;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
56;7;0.13155638046198312;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
56;8;2.143647781048459;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
56;9;0.9758587242536619;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
56;10;0.07553771324133003;1.0;1.0;1.0;1.0
63;1;0.008293442514024208;1.0;1.0;1.0;1.0
63;2;0.029492293389991635;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
63;3;0.0219726941702846;1.0;1.0;1.0;1.0
63;4;0.45228542240455044;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
63;5;0.07172812272311617;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
63;6;0.014346199698713794;1.0;1.0;1.0;1.0
63;7;0.09684041454794504;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
