year;month;day;hour;minute;tweets;related;rainfall (mm/30min);precision;recall;Next batch rainfall (mm/30min);Next batch rainfall class
2016;1;3;8;30;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;1;19;30;7;0;0.2;0.0;0.0;12.82;forte
2016;1;15;20;30;21;0;0.0;0.0;0.0;0.0;fraca
2016;1;27;12;0;14;0;0.0;0.0;0.0;0.0;fraca
2016;1;4;19;30;32;0;0.0;0.0;0.0;0.0;fraca
2016;1;10;17;30;11;0;0.0;0.0;0.0;0.0;fraca
2016;1;12;12;0;11;0;0.0;0.0;0.0;0.0;fraca
2016;1;5;11;0;8;0;0.0;0.0;0.0;0.0;fraca
2016;1;25;2;0;2;0;0.0;0.0;0.0;0.0;fraca
2016;1;11;18;0;6;0;0.0;0.0;0.0;0.0;fraca
2016;1;2;3;30;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;29;9;0;6;0;0.0;0.0;0.0;0.0;fraca
2016;1;23;10;30;20;0;0.0;0.0;0.0;0.0;fraca
2016;1;25;4;0;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;29;13;0;8;0;0.2;0.0;0.0;0.0;fraca
2016;2;1;0;0;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;21;3;0;1;0;0.0;0.0;0.0;0.0;fraca
2016;1;16;21;0;18;0;0.0;0.0;0.0;0.0;fraca
2016;1;1;15;0;6;0;0.0;0.0;0.0;0.0;fraca
2016;1;29;6;0;3;0;0.0;0.0;0.0;0.0;fraca
2016;1;31;22;30;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;6;12;0;10;0;0.0;0.0;0.0;0.0;fraca
2016;1;1;19;0;5;0;0.79;0.0;0.0;0.2;fraca
2016;1;15;18;30;5;0;0.0;0.0;0.0;0.0;fraca
2016;1;10;17;0;10;1;0.0;4.143978385008743e-06;0.0016129032258064516;0.0;fraca
2016;1;30;12;0;11;0;0.0;0.0;0.0;0.0;fraca
2016;1;10;21;30;16;0;0.0;0.0;0.0;0.0;fraca
2016;1;1;12;0;6;0;0.0;0.0;0.0;0.0;fraca
2016;1;8;6;30;3;0;0.0;0.0;0.0;0.0;fraca
2016;1;3;20;0;10;0;0.0;0.0;0.0;0.0;fraca
2016;1;13;17;0;7;0;0.0;0.0;0.0;0.0;fraca
2016;1;20;17;30;13;0;0.0;0.0;0.0;0.0;fraca
2016;1;6;6;30;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;30;11;0;4;0;0.0;0.0;0.0;0.0;fraca
2016;1;11;6;30;0;0;0.59;0.0;0.0;0.0;fraca
2016;1;3;14;0;7;0;0.0;0.0;0.0;0.0;fraca
2016;1;30;22;30;24;0;0.0;0.0;0.0;0.0;fraca
2016;1;11;1;0;3;0;0.4;0.0;0.0;0.4;fraca
2016;1;18;6;0;3;0;0.0;0.0;0.0;0.0;fraca
2016;1;21;5;0;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;7;7;0;2;0;0.0;0.0;0.0;0.0;fraca
2016;1;11;14;30;8;0;0.2;0.0;0.0;0.4;fraca
2016;1;25;10;30;13;0;0.0;0.0;0.0;0.0;fraca
2016;1;21;4;30;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;6;11;0;6;0;0.0;0.0;0.0;0.0;fraca
2016;1;3;21;0;14;0;0.0;0.0;0.0;0.0;fraca
2016;1;27;1;30;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;18;22;0;7;0;0.0;0.0;0.0;0.0;fraca
2016;1;4;22;30;14;0;0.0;0.0;0.0;0.0;fraca
2016;1;15;11;30;7;1;0.0;4.143978385008743e-06;0.0016129032258064516;0.0;fraca
2016;1;12;9;0;6;1;0.0;4.143978385008743e-06;0.0016129032258064516;0.0;fraca
2016;1;24;10;0;8;0;0.0;0.0;0.0;0.0;fraca
2016;1;16;0;30;4;0;0.0;0.0;0.0;0.0;fraca
2016;1;1;10;30;5;0;0.0;0.0;0.0;0.0;fraca
2016;1;2;23;30;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;17;23;30;12;0;0.0;0.0;0.0;0.0;fraca
2016;1;30;17;0;30;0;0.0;0.0;0.0;0.0;fraca
2016;1;17;4;30;3;0;0.0;0.0;0.0;0.0;fraca
2016;1;16;19;0;14;0;0.0;0.0;0.0;0.0;fraca
2016;1;6;8;0;6;0;0.0;0.0;0.0;0.0;fraca
2016;1;6;16;0;8;0;0.0;0.0;0.0;0.0;fraca
2016;1;23;16;0;15;0;0.0;0.0;0.0;0.0;fraca
2016;1;3;15;0;11;0;0.0;0.0;0.0;0.0;fraca
2016;1;7;22;30;11;0;0.0;0.0;0.0;0.0;fraca
2016;1;8;10;0;7;0;0.0;0.0;0.0;0.0;fraca
2016;1;10;10;0;10;0;0.0;0.0;0.0;0.0;fraca
2016;1;30;4;0;4;0;0.0;0.0;0.0;0.0;fraca
2016;1;12;14;30;10;0;0.0;0.0;0.0;0.0;fraca
2016;1;26;21;0;15;0;0.0;0.0;0.0;0.0;fraca
2016;1;2;5;30;1;0;0.0;0.0;0.0;0.0;fraca
2016;1;23;0;0;13;0;0.0;0.0;0.0;0.0;fraca
2016;1;7;6;0;2;0;0.0;0.0;0.0;0.0;fraca
2016;1;1;20;0;6;0;12.82;0.0;0.0;7.47;moderada
2016;1;10;7;30;2;0;0.2;0.0;0.0;0.0;fraca
2016;1;9;7;30;15;0;0.0;0.0;0.0;0.0;fraca
2016;1;20;4;30;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;20;18;30;19;0;0.0;0.0;0.0;0.0;fraca
2016;1;13;9;30;14;0;0.2;0.0;0.0;0.0;fraca
2016;1;27;11;30;10;0;0.0;0.0;0.0;0.0;fraca
2016;1;9;22;0;0;0;0.59;0.0;0.0;0.4;fraca
2016;1;3;7;0;1;0;0.0;0.0;0.0;0.0;fraca
2016;1;22;21;0;17;0;0.0;0.0;0.0;0.0;fraca
2016;1;6;19;30;23;0;0.0;0.0;0.0;0.0;fraca
2016;1;22;3;0;1;0;0.0;0.0;0.0;0.0;fraca
2016;1;5;22;30;15;0;0.0;0.0;0.0;0.0;fraca
2016;1;25;8;0;3;0;0.0;0.0;0.0;0.0;fraca
2016;1;15;1;0;3;0;0.2;0.0;0.0;0.6;fraca
2016;1;15;4;30;0;0;0.0;0.0;0.0;0.2;fraca
2016;1;3;13;30;16;0;0.0;0.0;0.0;0.0;fraca
2016;1;16;17;30;11;0;0.0;0.0;0.0;0.0;fraca
2016;1;30;15;0;16;0;0.0;0.0;0.0;0.0;fraca
2016;1;12;15;30;17;1;0.0;4.143978385008743e-06;0.0016129032258064516;0.0;fraca
2016;1;3;19;0;12;0;0.0;0.0;0.0;0.0;fraca
