Sensor;Split;Mean Squared Error;Accuracy;F1;Recall;Precision
2;1;4.351205554461775;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
2;2;0.17475300321367238;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;3;0.015292074491810439;1.0;1.0;1.0;1.0
2;4;2.163151197739014;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
2;5;2.061052075426528;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;6;3.53006965751194;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;7;0.05723062069995561;1.0;1.0;1.0;1.0
2;8;1.0742880380679865;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;9;0.2497290368784148;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
2;10;0.1653002107606107;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
3;1;0.0;1.0;1.0;1.0;1.0
3;2;0.0;1.0;1.0;1.0;1.0
3;3;0.0;1.0;1.0;1.0;1.0
3;4;0.0;1.0;1.0;1.0;1.0
3;5;0.0;1.0;1.0;1.0;1.0
3;6;0.0;1.0;1.0;1.0;1.0
3;7;0.0;1.0;1.0;1.0;1.0
3;8;0.0;1.0;1.0;1.0;1.0
3;9;0.0;1.0;1.0;1.0;1.0
3;10;0.0;1.0;1.0;1.0;1.0
4;1;0.024617245740504806;1.0;1.0;1.0;1.0
4;2;0.02904062934866705;1.0;1.0;1.0;1.0
4;3;0.015027821800924247;1.0;1.0;1.0;1.0
4;4;0.03431707762790755;1.0;1.0;1.0;1.0
4;5;0.013563031414847044;1.0;1.0;1.0;1.0
4;6;0.02893377309845183;1.0;1.0;1.0;1.0
4;7;0.029680779195641247;1.0;1.0;1.0;1.0
4;8;0.011685234472864056;1.0;1.0;1.0;1.0
4;9;0.04244935314113349;1.0;1.0;1.0;1.0
4;10;0.016103824048216156;1.0;1.0;1.0;1.0
54;1;0.03135300819906386;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;2;0.019389054300299764;1.0;1.0;1.0;1.0
54;3;0.012886082774826243;1.0;1.0;1.0;1.0
54;4;0.01271118437783569;1.0;1.0;1.0;1.0
54;5;0.025013154648939613;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;6;0.0342441872681113;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;7;0.015212779241288023;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;8;0.02032206862746371;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;9;0.02185583105379626;1.0;1.0;1.0;1.0
54;10;0.021252861663556947;1.0;1.0;1.0;1.0
55;1;0.011525622853810726;1.0;1.0;1.0;1.0
55;2;0.009977025812166414;1.0;1.0;1.0;1.0
55;3;0.009983002785497882;1.0;1.0;1.0;1.0
55;4;0.011529106793836492;1.0;1.0;1.0;1.0
55;5;0.009970808919193032;1.0;1.0;1.0;1.0
55;6;0.009975631067190984;1.0;1.0;1.0;1.0
55;7;0.011040958411304369;1.0;1.0;1.0;1.0
55;8;0.009983502639155114;1.0;1.0;1.0;1.0
55;9;0.011094310729697644;1.0;1.0;1.0;1.0
55;10;0.009986611405066667;1.0;1.0;1.0;1.0
56;1;0.4068224572447943;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
56;2;0.07405800249385547;1.0;1.0;1.0;1.0
56;3;0.035259256609959495;1.0;1.0;1.0;1.0
56;4;0.057189311874752416;1.0;1.0;1.0;1.0
56;5;0.3203825026997156;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
56;6;0.9321126540727418;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
56;7;0.13154370515495625;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
56;8;2.1435403934375343;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
56;9;0.975836626408641;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
56;10;0.07552246263200287;1.0;1.0;1.0;1.0
63;1;0.008302638374975784;1.0;1.0;1.0;1.0
63;2;0.029485158936044916;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
63;3;0.021982831994744673;1.0;1.0;1.0;1.0
63;4;0.4522790658300901;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
63;5;0.0717131351567729;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
63;6;0.014334383964246937;1.0;1.0;1.0;1.0
63;7;0.09684041454794504;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
63;8;0.007266949762234283;1.0;1.0;1.0;1.0
63;9;0.3632265904491161;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
63;10;0.007431955124838477;1.0;1.0;1.0;1.0
66;1;0.014752840600901637;1.0;1.0;1.0;1.0
66;2;0.01195923998240712;1.0;1.0;1.0;1.0
66;3;0.014287359875351182;1.0;1.0;1.0;1.0
66;4;0.015619131248334991;1.0;1.0;1.0;1.0
66;5;0.014723659325644569;1.0;1.0;1.0;1.0
66;6;0.01263322527610698;1.0;1.0;1.0;1.0
66;7;0.016514003603066676;1.0;1.0;1.0;1.0
66;8;0.013831159800727121;1.0;1.0;1.0;1.0
66;9;0.011940294045943092;1.0;1.0;1.0;1.0
66;10;0.01479698660288527;1.0;1.0;1.0;1.0
74;1;0.39907468038048305;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
74;2;2.5001098614187165;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
74;3;0.061063057306989896;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
74;4;2.104864680460338;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
74;5;0.25367563478672955;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
74;6;0.17298648054973428;1.0;1.0;1.0;1.0
