tweets;related;rainfall (mm/30min);Normalized tweets;Normalized related;Normalized rainfall (mm/30min);Next batch rainfall (mm/30min)
1;0;0.0;0.1;0.0;0.0;0.0
1;0;0.0;0.1;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0
3;0;0.0;0.3;0.0;0.0;0.0
3;0;0.0;0.3;0.0;0.0;0.0
1;0;0.0;0.1;0.0;0.0;0.0
6;0;0.0;0.6;0.0;0.0;0.0
1;0;0.0;0.1;0.0;0.0;0.0
1;0;0.0;0.1;0.0;0.0;0.0
4;0;0.0;0.4;0.0;0.0;0.0
3;0;0.0;0.3;0.0;0.0;0.0
1;0;0.0;0.1;0.0;0.0;0.0
1;0;0.0;0.1;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0
1;0;0.0;0.1;0.0;0.0;0.0
1;0;0.0;0.1;0.0;0.0;0.0
0;0;0.79;0.0;0.0;0.401015228426396;0.79
0;0;0.0;0.0;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0
2;0;0.0;0.2;0.0;0.0;0.0
3;0;0.0;0.3;0.0;0.0;0.0
1;0;0.0;0.1;0.0;0.0;0.0
2;0;0.0;0.2;0.0;0.0;0.0
2;0;0.0;0.2;0.0;0.0;0.0
1;0;0.0;0.1;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0
2;0;0.0;0.2;0.0;0.0;0.0
1;0;0.0;0.1;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0
4;0;0.6;0.4;0.0;0.3045685279187817;0.79
0;0;0.0;0.0;0.0;0.0;0.0
1;0;0.0;0.1;0.0;0.0;0.0
1;0;0.0;0.1;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0
3;0;0.0;0.3;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0
4;0;1.18;0.4;0.0;0.5989847715736041;0.98
2;0;0.0;0.2;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0
1;0;1.37;0.1;0.0;0.6954314720812184;0.98
0;0;0.0;0.0;0.0;0.0;0.0
4;0;0.2;0.4;0.0;0.10152284263959392;0.2
0;0;0.0;0.0;0.0;0.0;0.0
1;0;0.79;0.1;0.0;0.401015228426396;0.6
2;0;0.2;0.2;0.0;0.10152284263959392;0.0
3;0;0.0;0.3;0.0;0.0;0.2
0;0;0.0;0.0;0.0;0.0;0.0
4;0;0.0;0.4;0.0;0.0;0.0
1;0;0.0;0.1;0.0;0.0;0.0
2;0;0.0;0.2;0.0;0.0;0.0
0;0;0.4;0.0;0.0;0.20304568527918784;0.59
3;0;0.79;0.3;0.0;0.401015228426396;0.98
0;0;0.0;0.0;0.0;0.0;0.0
3;0;0.0;0.3;0.0;0.0;0.0
1;0;0.0;0.1;0.0;0.0;0.2
0;0;0.0;0.0;0.0;0.0;0.0
0;0;0.6;0.0;0.0;0.3045685279187817;0.4
1;0;0.0;0.1;0.0;0.0;0.0
1;0;0.0;0.1;0.0;0.0;0.0
1;0;0.0;0.1;0.0;0.0;0.0
1;0;0.0;0.1;0.0;0.0;0.0
