Sensor;Split;R2 Score;Explained Variance Score;Mesma Classe
1;1;0.29087184054927906;0.33472397149271005;1.0
1;2;0.20071879280879223;0.2009176516359279;1.0
1;3;0.2271149671717635;0.2610846032661833;1.0
1;4;0.29426895085500127;0.2999044687239686;1.0
1;5;0.12588379880365996;0.127037508997636;1.0
1;6;0.3555387025769423;0.3570338358827909;1.0
1;7;0.28672069267972844;0.28729128516383695;1.0
1;8;0.10989403647443186;0.11193526169974166;1.0
1;9;0.24688264890972278;0.2572752232934563;1.0
1;10;0.17583516888498385;0.1758810770593453;1.0
2;1;0.548936718057089;0.553805794550102;0.9664429530201343
2;2;0.12708249834721408;0.12725241750365346;0.9865771812080537
2;3;-0.45479570648870604;-0.24406804718732023;1.0
2;4;0.6773439689322367;0.6790589269429602;0.9798657718120806
2;5;0.6878857758680742;0.6897118779707653;0.9865771812080537
2;6;0.6761720461158058;0.6799361005468304;0.9865771812080537
2;7;-1.8905434997740778;-1.865509680708855;0.9932885906040269
2;8;-0.5086438344592217;-0.508484620702877;0.9798657718120806
2;9;0.026719530863687502;0.028688027691880835;0.9932885906040269
2;10;-1.508250533140088;-1.4691407097166782;0.9798657718120806
3;1;1.0;1.0;1.0
3;2;1.0;1.0;1.0
3;3;1.0;1.0;1.0
3;4;1.0;1.0;1.0
3;5;1.0;1.0;1.0
3;6;1.0;1.0;1.0
3;7;1.0;1.0;1.0
3;8;1.0;1.0;1.0
3;9;1.0;1.0;1.0
3;10;1.0;1.0;1.0
4;1;0.6233866143612468;0.6246921396192846;1.0
4;2;0.533888224376589;0.5344944881570044;1.0
4;3;0.27284380854537715;0.27742118801792603;1.0
4;4;0.4361365818217665;0.4368866245676932;1.0
4;5;-0.027325978138110107;-0.00033289199439368033;1.0
4;6;0.543119230870788;0.5433073662997118;1.0
4;7;0.6949610836305913;0.6950101874895188;1.0
4;8;-0.12249568817488599;-0.07734490698724006;1.0
4;9;0.2772780618280498;0.28296871246719024;1.0
4;10;0.06309738825136957;0.07133936776015481;1.0
5;1;0.1538574483001819;0.16077428629369783;1.0
5;2;0.13771949562278152;0.13846774944153095;1.0
5;3;0.1270465654026922;0.1317987216305725;1.0
5;4;0.13159158383724223;0.1325927648618761;1.0
5;5;0.1635341414663266;0.1954178797535614;1.0
5;6;0.089340019483516;0.10437224089761843;1.0
5;7;0.1210959566727362;0.12172563665755365;1.0
5;8;0.0732967185210136;0.07804010282778406;1.0
5;9;0.15511516418065374;0.1557246781393533;1.0
5;10;0.11701850429589378;0.11702849732228604;1.0
6;1;0.4708186914199126;0.47719850047988166;0.9865771812080537
6;2;0.05518302864397073;0.05933907659456239;0.9865771812080537
6;3;-0.4257105664699907;-0.3360757394547109;1.0
6;4;0.1821286923770732;0.18351074372231724;0.9731543624161074
6;5;0.24116556723252924;0.24622096633989232;0.9798657718120806
6;6;0.10195322429429754;0.10698340967023334;0.9798657718120806
6;7;0.5399031242426473;0.5586147296314922;1.0
6;8;-0.20521506541022605;-0.19043341212699794;0.9798657718120806
6;9;-0.548642421953824;-0.5486204150075749;0.959731543624161
6;10;0.09283548868255342;0.10084796956136566;0.9731543624161074
7;1;0.40059271899963245;0.4046955035555354;0.9731543624161074
7;2;0.043496387176043094;0.04707933023118671;0.9932885906040269
7;3;-6.519664017433082;-6.221940988376644;0.9932885906040269
7;4;0.4150974037188615;0.41544270936787486;0.9932885906040269
7;5;0.3439675859727648;0.4008747662780716;0.9932885906040269
7;6;0.42721296680492094;0.4310678525473346;0.9731543624161074
7;7;0.14109212408816307;0.1413157538872608;0.9731543624161074
7;8;0.38760848664544134;0.3939052838020103;0.9865771812080537
7;9;0.7567501576228621;0.7616901890007325;0.9731543624161074
7;10;-2.8582349641331044;-2.7093241454318497;0.9865771812080537
8;1;0.0;0.0;1.0
8;2;0.0;0.0;1.0
8;3;0.0;0.0;1.0
8;4;0.0;0.0;1.0
8;5;0.0;0.0;1.0
8;6;0.0;0.0;1.0
8;7;0.0;0.0;1.0
8;8;0.0;0.0;1.0
8;9;-0.006756756756756799;0.0;1.0
8;10;0.0;0.0;1.0
9;1;0.9365436268339873;0.9366101935397546;1.0
9;2;0.6930651899203037;0.693817799455684;0.9932885906040269
9;3;0.7316632547814172;0.7317970602386187;1.0
9;4;0.5494380884445778;0.5494477396289756;1.0
9;5;0.8222503402695083;0.8222543051744272;0.9932885906040269
9;6;0.8687841496837945;0.8687947218332871;1.0
9;7;0.8037253369473631;0.8038697378595678;0.9932885906040269
9;8;0.84566578158508;0.8456684171649832;1.0
9;9;0.7266331825703136;0.7270491752023602;0.9798657718120806
9;10;0.840052798858772;0.8521175755812864;1.0
10;1;0.6480471445692115;0.6497082439110571;0.9731543624161074
10;2;-0.3640186937815051;-0.35054721466221617;0.9798657718120806
10;3;-0.09472780296771877;0.1900827297404175;1.0
10;4;0.271373957773125;0.2790193796607092;0.9798657718120806
10;5;0.4290598720361253;0.43161068440383;0.9798657718120806
10;6;0.9105002735823594;0.9131642990818928;0.9865771812080537
10;7;-22.112291388166405;-21.493479065871647;0.9865771812080537
10;8;-4.78492031854295;-4.746192470104701;0.9865771812080537
10;9;0.04277243984138168;0.04670842128635466;0.9865771812080537
10;10;-0.45608538396522724;-0.43062734265105207;0.9865771812080537
11;1;-0.02445227327882704;-0.022862723051238598;0.9932885906040269
11;2;-0.0009114558323282118;0.003949474314674295;0.9865771812080537
11;3;-0.007766462610646396;-0.0033009011067830496;0.9932885906040269
11;4;0.3674141902866287;0.36822031591031756;1.0
11;5;0.38057065546027846;0.3805802077599173;0.9932885906040269
11;6;-4.863253464659029;-4.803865215081238;0.9865771812080537
11;7;0.07112958531437097;0.07760750751370649;0.9865771812080537
11;8;0.17891297712715215;0.17935217728166009;0.9932885906040269
11;9;0.16191311027238575;0.16456972601891062;0.9865771812080537
11;10;-1.3789083636934358;-1.378440990955017;0.9798657718120806
12;1;0.6119016796039429;0.6158182082511157;1.0
12;2;0.20908642968043412;0.21018422517298685;0.9932885906040269
12;3;0.14806372293094816;0.15364398274226532;0.9865771812080537
12;4;0.5210492043244679;0.5328927488122482;1.0
12;5;0.58296402414205;0.5854339918557806;0.9932885906040269
12;6;0.24325962801480583;0.244683070129728;0.9865771812080537
12;7;0.29964470439845114;0.3423044411881281;1.0
12;8;0.4771166944137669;0.5039198506040568;0.9932885906040269
12;9;0.2183773555290982;0.22284109883168113;0.9865771812080537
12;10;0.05054646856513878;0.0883333435558552;1.0
13;1;-0.07377948542303447;-0.07333007667785618;1.0
13;2;0.1962160350520027;0.2071614048527658;1.0
13;3;0.08244125112285317;0.10513619927936235;1.0
13;4;0.07349553595644365;0.08727184151415512;1.0
13;5;-0.030297288760333663;0.017387349085142945;1.0
13;6;-0.016248174907099067;-0.014746363972353516;1.0
13;7;0.4128712202877156;0.4913943365264807;1.0
13;8;0.41248224747307904;0.413614503248512;1.0
13;9;0.07451952511790605;0.07469092736697047;1.0
13;10;-0.11277811687352379;-0.051629507320857915;1.0
14;1;-238.38469152054134;-230.71965327632324;0.9798657718120806
14;2;0.0;0.0;0.9932885906040269
14;3;0.0027204863727648965;0.005796441057553392;0.9798657718120806
14;4;-0.1949547248077601;-0.11501458080599303;1.0
14;5;-19.43363784448546;-18.95323534308249;0.9932885906040269
14;6;-43.29612725812158;-41.70565528943664;0.9865771812080537
14;7;-37.56302638893898;-35.907775877493336;0.9932885906040269
14;8;-0.3445795546244772;-0.3406164082854457;0.9731543624161074
14;9;0.8197750071854801;0.8304750528974889;0.9932885906040269
14;10;-83.92657493935923;-79.8311798638296;0.9865771812080537
15;1;0.7023341162318872;0.7023514601620602;1.0
15;2;0.7037040640112697;0.7120636233874034;1.0
15;3;0.7670177500158962;0.7670179936554447;1.0
15;4;0.6162535040223385;0.6177354529276784;1.0
15;5;0.8397229331530964;0.8397801110494644;1.0
15;6;0.7044612638949879;0.705491843863688;1.0
15;7;0.5382811224209425;0.5385658907888615;1.0
15;8;0.7606186540014043;0.7606456435272169;1.0
15;9;0.5724944415394192;0.5735068489017482;1.0
15;10;0.6328326283821368;0.6330021561626039;1.0
16;1;-0.010448142264113836;0.0031091664786913054;1.0
16;2;-0.04074353762846972;-0.03617999593590171;1.0
16;3;-0.06636270232252328;-0.06506348353952718;1.0
16;4;0.009850205967136483;0.01947494366329927;1.0
16;5;-0.008876181771461544;-0.008771089678558663;1.0
16;6;-0.03247179996528282;-0.020750279082214274;1.0
16;7;0.06389277271579752;0.06459960516972119;1.0
16;8;0.006506431942535418;0.007294212465115191;1.0
16;9;0.07726231127970518;0.07960161486833839;1.0
16;10;0.03328472631876711;0.037984106173517884;1.0
17;1;-0.03437541306492009;-0.020144875919202443;1.0
17;2;-0.08338418305103423;-0.07817337791384027;1.0
17;3;0.04678097962615979;0.049323539978030406;1.0
17;4;-0.07046368284211901;-0.061871862184711635;1.0
17;5;-0.023323242879097705;-0.0221635296072904;1.0
17;6;-0.036793674620525074;-0.033818912271514456;1.0
17;7;-0.20232988783822692;-0.12532992302306356;1.0
17;8;0.015321027584130231;0.016026860935835496;1.0
17;9;-0.012548571465896163;-0.012000619933773882;1.0
17;10;-0.001193965859072721;0.0022694518424435373;1.0
18;1;0.4196646844657329;0.42490727432675857;0.9798657718120806
18;2;0.2326148032582186;0.23305483506206004;0.9865771812080537
18;3;-0.05454429856970022;0.004951076796385068;1.0
18;4;0.49763131897042157;0.49822152013708276;0.9798657718120806
18;5;0.398196097399115;0.4043990960181856;0.9798657718120806
18;6;0.4619325761873767;0.4640920997794513;0.9798657718120806
18;7;0.5128184058736526;0.530315305568763;1.0
18;8;-2.495311833381148;-2.4421750490321363;0.9798657718120806
18;9;0.24834986590372965;0.2495220951191457;0.9932885906040269
18;10;0.2808306664427409;0.28828440652195997;0.9865771812080537
19;1;0.27693053112914856;0.28658892839157124;0.9664429530201343
19;2;-0.0969471216197022;-0.08576482274108477;0.9865771812080537
19;3;-0.009978299546981484;-0.007531071874084638;0.9932885906040269
19;4;-0.00015942412394531758;0.0024961384988521074;0.9932885906040269
19;5;0.39707495850916874;0.403938150872874;0.9731543624161074
19;6;0.24941265495172305;0.2549485124748968;0.9798657718120806
19;7;0.45960159507528764;0.5197210771052769;0.9932885906040269
19;8;-6.220824923037871;-6.079386694581285;0.9932885906040269
19;9;-0.3143918298399091;-0.2712225319231818;0.9798657718120806
19;10;0.19344491206241732;0.1949046117352995;0.9865771812080537
20;1;0.15755537651639473;0.1600948747099178;0.9932885906040269
20;2;0.5930673539224159;0.5930761689789779;1.0
20;3;0.4117634668484197;0.4118215453672812;1.0
20;4;0.5483649862109257;0.5484530972369934;1.0
20;5;0.5927842920708654;0.6060467314468581;1.0
20;6;0.26110161792822184;0.26372003479305206;1.0
20;7;0.17096764555886013;0.17165991280127968;1.0
20;8;0.35060899044365057;0.36389931590419056;1.0
20;9;0.5376883575318918;0.5377881167687641;1.0
20;10;0.3725946381293668;0.3733730842669165;1.0
21;1;0.41500645922472323;0.4162686131060651;0.9932885906040269
21;2;0.10655755062245631;0.10961966114594712;1.0
21;3;0.413379193450613;0.41394047274428325;1.0
21;4;-1.6112388654877607;-1.6012222007187082;0.9865771812080537
21;5;0.35573711705387834;0.3559002699164183;0.9798657718120806
21;6;0.12365118706755873;0.12568322995810144;0.9932885906040269
21;7;0.40641416844024747;0.40828818542803325;0.9865771812080537
21;8;0.476482726681405;0.48494427732939693;0.9798657718120806
21;9;-0.20002772859744944;-0.19987342277734244;0.9865771812080537
21;10;-1.336404994462339;-1.2166083692804284;1.0
22;1;0.5986093183486301;0.5986626583008234;1.0
22;2;0.43566337745820094;0.4381342323302886;1.0
22;3;0.6100473184209058;0.6101576818950065;1.0
22;4;0.5279646142209424;0.5318427645110473;1.0
22;5;0.740209187067917;0.7406324101826023;1.0
22;6;0.7748572007429824;0.7760397253048512;1.0
22;7;0.6363297536477217;0.6367297516595068;1.0
22;8;0.775818261056832;0.77588795203317;1.0
22;9;0.5899564154800652;0.5972556246136201;1.0
22;10;0.7730343369440645;0.7735928399082008;1.0
23;1;0.16377619823769374;0.16587797349425248;0.9865771812080537
23;2;-0.09560249074159177;-0.09559281152844012;0.9932885906040269
23;3;-3.144028395905953;-2.8336248015158563;0.9865771812080537
23;4;0.42636706495150345;0.4351135862193335;0.9865771812080537
23;5;0.5422087082880314;0.5423106427153862;0.9865771812080537
23;6;0.8007750921057781;0.8008017515374566;1.0
23;7;-0.24319625637718656;-0.2427384740822658;0.9798657718120806
