tweets;related;rainfall (mm/30min);precision;recall;Normalized tweets;Normalized related;Normalized rainfall (mm/30min);Normalized precision;Normalized recall;Next batch rainfall (mm/30min)
18;0;0.2;0.0;0.0;0.1651376146788991;0.0;0.008406893652795292;0.0;0.0;0.0
43;0;0.0;0.0;0.0;0.3944954128440367;0.0;0.0;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;0;0.0;0.0;0.0;0.09174311926605505;0.0;0.0;0.0;0.0;0.0
58;0;0.0;0.0;0.0;0.5321100917431193;0.0;0.0;0.0;0.0;0.0
9;0;0.0;0.0;0.0;0.08256880733944955;0.0;0.0;0.0;0.0;0.0
42;0;0.0;0.0;0.0;0.3853211009174312;0.0;0.0;0.0;0.0;0.0
16;1;0.0;4.143978385008743e-06;0.0016129032258064516;0.14678899082568808;0.25;0.0;0.25;0.25;0.0
5;0;0.0;0.0;0.0;0.045871559633027525;0.0;0.0;0.0;0.0;0.0
27;0;0.0;0.0;0.0;0.24770642201834864;0.0;0.0;0.0;0.0;0.0
30;0;0.0;0.0;0.0;0.27522935779816515;0.0;0.0;0.0;0.0;0.0
57;0;0.0;0.0;0.0;0.5229357798165137;0.0;0.0;0.0;0.0;0.0
2;0;0.0;0.0;0.0;0.01834862385321101;0.0;0.0;0.0;0.0;0.0
54;0;0.0;0.0;0.0;0.4954128440366973;0.0;0.0;0.0;0.0;0.0
33;0;0.0;0.0;0.0;0.30275229357798167;0.0;0.0;0.0;0.0;0.0
15;0;0.99;0.0;0.0;0.13761467889908258;0.0;0.0416141235813367;0.0;0.0;0.6
52;0;0.0;0.0;0.0;0.47706422018348627;0.0;0.0;0.0;0.0;0.0
6;0;0.0;0.0;0.0;0.05504587155963303;0.0;0.0;0.0;0.0;0.0
72;0;0.0;0.0;0.0;0.6605504587155964;0.0;0.0;0.0;0.0;0.0
48;1;0.0;4.143978385008743e-06;0.0016129032258064516;0.44036697247706424;0.25;0.0;0.25;0.25;0.2
39;0;0.0;0.0;0.0;0.3577981651376147;0.0;0.0;0.0;0.0;0.0
12;0;0.0;0.0;0.0;0.11009174311926606;0.0;0.0;0.0;0.0;0.0
58;0;0.0;0.0;0.0;0.5321100917431193;0.0;0.0;0.0;0.0;0.0
32;0;0.0;0.0;0.0;0.29357798165137616;0.0;0.0;0.0;0.0;0.0
45;0;0.0;0.0;0.0;0.41284403669724773;0.0;0.0;0.0;0.0;0.0
11;0;0.0;0.0;0.0;0.10091743119266056;0.0;0.0;0.0;0.0;0.0
32;0;0.0;0.0;0.0;0.29357798165137616;0.0;0.0;0.0;0.0;0.0
66;0;0.0;0.0;0.0;0.6055045871559633;0.0;0.0;0.0;0.0;0.0
17;0;0.0;0.0;0.0;0.1559633027522936;0.0;0.0;0.0;0.0;0.0
70;0;0.0;0.0;0.0;0.6422018348623854;0.0;0.0;0.0;0.0;0.0
43;0;0.0;0.0;0.0;0.3944954128440367;0.0;0.0;0.0;0.0;0.0
17;0;0.0;0.0;0.0;0.1559633027522936;0.0;0.0;0.0;0.0;0.0
42;0;0.0;0.0;0.0;0.3853211009174312;0.0;0.0;0.0;0.0;0.0
58;0;0.0;0.0;0.0;0.5321100917431193;0.0;0.0;0.0;0.0;0.0
11;0;0.0;0.0;0.0;0.10091743119266056;0.0;0.0;0.0;0.0;0.0
32;0;0.0;0.0;0.0;0.29357798165137616;0.0;0.0;0.0;0.0;0.0
24;0;0.0;0.0;0.0;0.22018348623853212;0.0;0.0;0.0;0.0;0.0
