Sensor;Split;R2 Score;Explained Variance Score;Mesma Classe
1;1;0.29087184054927884;0.33472397149271005;1.0
1;2;0.20000026586649045;0.20020280863236106;1.0
1;3;0.22762444528490633;0.2615125172078453;1.0
1;4;0.29424074387573584;0.299879666211078;1.0
1;5;0.12588379880365996;0.127037508997636;1.0
1;6;0.3555387025769422;0.35703383588279103;1.0
1;7;0.2867352119152733;0.2873165750995098;1.0
1;8;0.11000994664001151;0.11204325404410964;1.0
1;9;0.24682742712854877;0.25722879014839395;1.0
1;10;0.17583516888498385;0.1758810770593453;1.0
2;1;0.5497285726838326;0.5544455811365951;0.9664429530201343
2;2;0.12708249834721408;0.12725241750365346;0.9865771812080537
2;3;-0.44595480813768784;-0.23620992988083533;1.0
2;4;0.6753001404593539;0.6769493193845657;0.9798657718120806
2;5;0.6873921063332236;0.6892214454146746;0.9865771812080537
2;6;0.6771284866226507;0.680872378803816;0.9865771812080537
2;7;-2.296695324173281;-2.2683020053473695;0.9932885906040269
2;8;-0.4936562206795567;-0.4934753183327807;0.9798657718120806
2;9;0.02514915481872204;0.027126146632249437;0.9932885906040269
2;10;-1.5752051367275999;-1.5347048462459116;0.9798657718120806
3;1;1.0;1.0;1.0
3;2;1.0;1.0;1.0
3;3;1.0;1.0;1.0
3;4;1.0;1.0;1.0
3;5;1.0;1.0;1.0
3;6;1.0;1.0;1.0
3;7;1.0;1.0;1.0
3;8;1.0;1.0;1.0
3;9;1.0;1.0;1.0
3;10;1.0;1.0;1.0
4;1;0.6236454859552432;0.6249736932651808;1.0
4;2;0.5328174461232907;0.533437460668528;1.0
4;3;0.27425112960565623;0.278793868404942;1.0
4;4;0.43938709364453;0.4401201578148497;1.0
4;5;-0.027434302997603632;-0.00043858759544224135;1.0
4;6;0.5387522724011128;0.5389182114291633;1.0
4;7;0.6957236897889045;0.6957766955618918;1.0
4;8;-0.12249568817488599;-0.07734490698724006;1.0
4;9;0.2749393423418127;0.2807076324445005;1.0
4;10;0.06328821488457259;0.07155956249282225;1.0
5;1;0.1538574483001819;0.16077428629369783;1.0
5;2;0.13771949562278152;0.13846774944153073;1.0
5;3;0.1270465654026922;0.1317987216305725;1.0
5;4;0.13159158383724223;0.1325927648618761;1.0
5;5;0.1635341414663266;0.1954178797535614;1.0
5;6;0.089340019483516;0.10437224089761843;1.0
5;7;0.1210959566727362;0.12172563665755365;1.0
5;8;0.0732967185210136;0.07804010282778406;1.0
5;9;0.15511516418065374;0.1557246781393533;1.0
5;10;0.11701850429589378;0.11702849732228604;1.0
6;1;0.44782288273388793;0.4545033094909675;0.9865771812080537
6;2;0.05518302864397073;0.05933907659456239;0.9865771812080537
6;3;-0.4257105664699907;-0.33607573945471114;1.0
6;4;0.19714160352912447;0.19847009106032076;0.9731543624161074
6;5;0.26012984485142243;0.26505545196144653;0.9798657718120806
6;6;0.08471796777856344;0.08931535222446452;0.9798657718120806
6;7;0.5399031242426475;0.5586147296314922;1.0
6;8;-0.21618446546744297;-0.201143896426897;0.9798657718120806
